,图片名称,单号
0,C:\Users\Myxk\Desktop\ApiPythonSDK\img\KFH_010.jpg,KFH022103030039
1,C:\Users\Myxk\Desktop\ApiPythonSDK\img\KFH_011.jpg,FH022103030040
2,C:\Users\Myxk\Desktop\ApiPythonSDK\img\KFH_012.jpg,kFH0z2103030041
3,C:\Users\Myxk\Desktop\ApiPythonSDK\img\KFH_013.jpg,KFH022103040061
4,C:\Users\Myxk\Desktop\ApiPythonSDK\img\KFH_014.jpg,KFH022103040062
5,C:\Users\Myxk\Desktop\ApiPythonSDK\img\KFH_016.jpg,6FH022103040065
6,C:\Users\Myxk\Desktop\ApiPythonSDK\img\KFH_017.jpg,
7,C:\Users\Myxk\Desktop\ApiPythonSDK\img\KFH_018.jpg,KFH022103050084
8,C:\Users\Myxk\Desktop\ApiPythonSDK\img\KFH_019.jpg,KFH022103050086
9,C:\Users\Myxk\Desktop\ApiPythonSDK\img\KFH_020.jpg,KFH022103050087
10,C:\Users\Myxk\Desktop\ApiPythonSDK\img\KFH_021.jpg,KFH022103050088
11,C:\Users\Myxk\Desktop\ApiPythonSDK\img\KFH_022.jpg,KFH022103060094
12,C:\Users\Myxk\Desktop\ApiPythonSDK\img\KFH_023.jpg,KFH022103060095
13,C:\Users\Myxk\Desktop\ApiPythonSDK\img\KFH_024.jpg,KFH022103060096
14,C:\Users\Myxk\Desktop\ApiPythonSDK\img\KFH_028.jpg,CFH022103070100
15,C:\Users\Myxk\Desktop\ApiPythonSDK\img\KFH_029.jpg,
16,C:\Users\Myxk\Desktop\ApiPythonSDK\img\KFH_030.jpg,KFH022103070102
17,C:\Users\Myxk\Desktop\ApiPythonSDK\img\KFH_031.jpg,KFH022103070103
18,C:\Users\Myxk\Desktop\ApiPythonSDK\img\KFH_032.jpg,KFH022103070104
19,C:\Users\Myxk\Desktop\ApiPythonSDK\img\KFH_033.jpg,KFH022103080115
