,0,1,2,3,4,5,6
0,欧洲,意大利,101739,0,14620,11591,03-31
1,欧洲,西班牙,85195,0,14709,7340,03-31
2,欧洲,德国,58101,0,8481,474,03-31
3,欧洲,法国,44550,0,7924,3024,03-31
4,亚洲,伊朗,41495,0,12391,2640,03-31
5,欧洲,英国,22141,0,135,1408,03-31
6,欧洲,瑞士,14799,0,1823,300,03-31
7,欧洲,比利时,11899,0,1527,513,03-31
8,亚洲,土耳其,9271,0,105,131,03-31
9,欧洲,奥地利,9377,0,646,108,03-31
10,欧洲,荷兰,11750,0,2954,864,03-31
11,北美洲,加拿大,7448,0,345,80,03-31
12,欧洲,葡萄牙,6408,0,22,140,03-31
13,亚洲,以色列,4695,0,161,16,03-31
14,南美洲,巴西,4579,0,0,159,03-31
15,欧洲,挪威,4451,0,0,32,03-31
16,亚洲,韩国,9786,0,5408,162,03-31
17,大洋洲,澳大利亚,4245,0,119,16,03-31
18,欧洲,瑞典,4028,0,17,146,03-31
19,欧洲,捷克,2976,0,25,23,03-31
20,欧洲,爱尔兰,2910,0,0,54,03-31
21,欧洲,丹麦,2577,0,1,77,03-31
22,亚洲,马来西亚,2626,0,388,34,03-31
23,南美洲,智利,2139,0,75,7,03-31
24,欧洲,波兰,2055,0,13,31,03-31
25,欧洲,卢森堡,1988,0,0,22,03-31
26,南美洲,厄瓜多尔,1890,0,0,57,03-31
27,欧洲,俄罗斯,1836,0,66,10,03-31
28,欧洲,罗马尼亚,1952,0,206,50,03-31
29,亚洲,巴基斯坦,1625,0,28,18,03-31
30,亚洲,日本,1944,0,404,58,03-31
31,亚洲,菲律宾,1546,0,42,78,03-31
32,亚洲,泰国,1524,0,127,9,03-31
33,亚洲,沙特阿拉伯,1453,0,115,8,03-31
34,非洲,南非,1326,0,1,3,03-31
35,欧洲,芬兰,1313,0,10,13,03-31
36,亚洲,印度尼西亚,1414,0,64,122,03-31
37,欧洲,希腊,1212,0,19,43,03-31
38,亚洲,印度,1251,0,101,32,03-31
39,北美洲,墨西哥,993,0,1,20,03-31
40,北美洲,巴拿马,989,0,4,24,03-31
41,欧洲,冰岛,1086,0,157,2,03-31
42,南美洲,秘鲁,950,0,14,24,03-31
43,欧洲,塞尔维亚,835,0,0,16,03-31
44,南美洲,哥伦比亚,798,0,10,12,03-31
45,欧洲,斯洛文尼亚,756,0,0,11,03-31
46,南美洲,阿根廷,820,0,1,80,03-31
47,欧洲,克罗地亚,790,0,64,6,03-31
48,亚洲,新加坡,879,0,183,3,03-31
49,欧洲,爱沙尼亚,715,0,20,3,03-31
50,亚洲,卡塔尔,693,0,51,2,03-31
51,北美洲,多米尼加,581,0,0,20,03-31
52,亚洲,阿联酋,611,0,61,5,03-31
53,大洋洲,新西兰,589,4,50,1,03-31
54,欧洲,乌克兰,548,0,8,13,03-31
55,非洲,阿尔及利亚,584,0,37,35,03-31
56,非洲,摩洛哥,556,0,14,33,03-31
57,欧洲,立陶宛,484,0,1,7,03-31
58,非洲,埃及,656,0,150,41,03-31
59,亚洲,亚美尼亚,482,0,30,3,03-31
60,亚洲,伊拉克,630,0,152,46,03-31
61,亚洲,黎巴嫩,446,0,32,11,03-31
62,欧洲,匈牙利,447,0,34,15,03-31
63,欧洲,拉脱维亚,376,0,0,0,03-31
64,欧洲,安道尔,370,0,10,8,03-31
65,非洲,突尼斯,362,0,0,10,03-31
66,欧洲,保加利亚,346,0,3,8,03-31
67,欧洲,波黑,358,0,17,9,03-31
68,欧洲,斯洛伐克,336,0,7,0,03-31
69,南美洲,乌拉圭,309,0,6,1,03-31
70,北美洲,哥斯达黎加,295,0,0,2,03-31
71,欧洲,摩尔多瓦,298,0,10,2,03-31
72,亚洲,哈萨克斯坦,302,0,21,1,03-31
73,欧洲,北马其顿,259,0,1,6,03-31
74,亚洲,阿塞拜疆,273,0,26,4,03-31
75,亚洲,约旦,268,0,26,5,03-31
76,亚洲,巴林,515,0,279,4,03-31
77,亚洲,塞浦路斯,230,0,0,6,03-31
78,欧洲,圣马力诺,242,0,2,24,03-31
79,非洲,留尼旺,207,0,0,0,03-31
80,非洲,布基纳法索,246,0,31,12,03-31
81,欧洲,阿尔巴尼亚,223,0,10,10,03-31
82,亚洲,科威特,266,0,72,0,03-31
83,亚洲,阿富汗,174,0,0,4,03-31
84,欧洲,法罗群岛,168,0,0,0,03-31
85,非洲,科特迪瓦,168,0,6,1,03-31
86,亚洲,越南,203,0,52,0,03-31
87,欧洲,马耳他,151,0,0,0,03-31
