,0,1,2,3,4,5,6,7,8,9,10,11,12
0,3008.0,82547,771,76225,3314,528.0,30.0,-267.0,83.0,343.0,7.0,-109.0,03-31
27,3236.0,82505,723,75956,3313,633.0,30.0,-199.0,164.0,356.0,7.0,-109.0,03-30
89,3509.0,82421,693,75606,3306,742.0,44.0,-281.0,208.0,484.0,5.0,-179.0,03-29
149,3857.0,82282,649,75124,3301,921.0,54.0,-186.0,204.0,387.0,3.0,-113.0,03-28
212,4123.0,82164,595,74743,3298,1034.0,54.0,-348.0,204.0,547.0,5.0,-201.0,03-27
280,4537.0,82034,541,74204,3293,1235.0,67.0,-231.0,188.0,413.0,6.0,-164.0,03-26
370,4813.0,81896,474,73796,3287,1399.0,47.0,-352.0,149.0,497.0,4.0,-174.0,03-25
408,5220.0,81806,427,73303,3283,1573.0,74.0,-263.0,206.0,462.0,7.0,-176.0,03-24
478,5567.0,81691,376,72848,3276,1749.0,62.0,-282.0,193.0,466.0,9.0,-96.0,03-23
574,5909.0,81566,317,72390,3267,1845.0,48.0,-370.0,150.0,514.0,6.0,-118.0,03-22
605,6311.0,81457,269,71885,3261,1963.0,41.0,-452.0,157.0,601.0,8.0,-173.0,03-21
632,6838.0,81385,228,71292,3255,2136.0,39.0,-601.0,149.0,745.0,5.0,-178.0,03-20
671,7452.0,81263,190,70561,3250,2314.0,35.0,-732.0,112.0,836.0,8.0,-308.0,03-19
754,8183.0,81202,155,69777,3242,2622.0,12.0,-903.0,86.0,978.0,11.0,-208.0,03-18
845,9084.0,81135,143,68820,3231,2830.0,20.0,-912.0,58.0,957.0,13.0,-202.0,03-17
930,9951.0,81099,123,67930,3218,3032.0,12.0,-871.0,51.0,908.0,14.0,-194.0,03-16
975,10821.0,81062,114,67037,3204,3226.0,19.0,-1357.0,41.0,1388.0,10.0,-384.0,03-15
1038,12160.0,81029,95,65675,3194,3610.0,7.0,-1447.0,26.0,1459.0,14.0,-410.0,03-14
1077,13600.0,81007,88,64226,3181,4020.0,3.0,-1332.0,15.0,1339.0,8.0,-237.0,03-13
1131,14884.0,80981,85,62924,3173,4257.0,6.0,-1342.0,26.0,1357.0,11.0,-235.0,03-12
1177,16139.0,80969,86,61668,3162,4492.0,17.0,-1663.0,45.0,1686.0,22.0,-302.0,03-11
1221,17595.0,80932,72,60197,3140,4794.0,5.0,-1502.0,28.0,1513.0,17.0,-317.0,03-10
1286,18957.0,80905,421,58824,3124,5111.0,60.0,-1659.0,46.0,1681.0,24.0,-153.0,03-09
1312,20355.0,80868,458,57412,3101,5264.0,84.0,-1908.0,55.0,1935.0,28.0,-225.0,03-08
1343,22184.0,80815,502,55558,3073,5489.0,99.0,-1688.0,105.0,1765.0,28.0,-248.0,03-07
1367,23721.0,80734,482,53968,3045,5737.0,102.0,-1720.0,169.0,1859.0,30.0,-215.0,03-06
1397,25260.0,80581,522,52305,3016,5952.0,143.0,-2264.0,159.0,2391.0,32.0,-464.0,03-05
1432,27430.0,80424,520,50010,2984,6416.0,143.0,-2666.0,122.0,2750.0,38.0,-390.0,03-04
1460,29921.0,80303,587,47434,2948,6806.0,129.0,-2820.0,129.0,2916.0,33.0,-304.0,03-03
1503,32415.0,80175,715,44845,2915,7110.0,141.0,-3005.0,207.0,3170.0,42.0,-255.0,03-02
1539,34937.0,79972,851,42162,2873,7365.0,132.0,-2565.0,583.0,3113.0,35.0,-299.0,03-01
1582,37248.0,79394,1418,39308,2838,7664.0,248.0,-2763.0,435.0,3151.0,47.0,-288.0,02-29
1616,39859.0,78962,2308,36312,2791,7952.0,452.0,-3493.0,332.0,3781.0,44.0,-394.0,02-28
1663,42968.0,78631,2358,32916,2747,8346.0,508.0,-2729.0,441.0,3141.0,29.0,-406.0,02-27
1703,45399.0,78195,2491,30078,2718,8752.0,439.0,-2361.0,416.0,2725.0,52.0,-374.0,02-26
1762,47464.0,77785,2824,27655,2666,9126.0,530.0,-2446.0,523.0,2898.0,71.0,-789.0,02-25
1814,49666.0,77269,3434,25007,2596,9915.0,620.0,-1828.0,423.0,2100.0,151.0,-1053.0,02-24
1858,51420.0,77048,4148,23183,2445,10968.0,882.0,-1952.0,656.0,2511.0,97.0,-509.0,02-23
1920,52973.0,76396,5365,21075,2348,11477.0,1361.0,-2502.0,403.0,2796.0,109.0,-156.0,02-22
1977,54645.0,75571,5206,18687,2239,11633.0,1614.0,-1741.0,896.0,2519.0,118.0,-231.0,02-21
2037,55837.0,74680,4922,16721,2122,11864.0,1277.0,-2046.0,404.0,2334.0,116.0,-113.0,02-20
2103,57337.0,74284,5248,14938,2009,11977.0,1185.0,-760.0,1756.0,2377.0,139.0,236.0,02-19
2168,57657.0,72532,6242,13003,1872,11741.0,1432.0,-348.0,1895.0,2143.0,100.0,1097.0,02-18
2234,57594.0,70644,7264,11278,1772,10644.0,1563.0,101.0,2060.0,1853.0,106.0,-628.0,02-17
2303,57165.0,68595,8228,9763,1667,11272.0,1918.0,215.0,2020.0,1662.0,143.0,219.0,02-16
2336,56563.0,66581,8969,8494,1524,11053.0,2277.0,740.0,2649.0,1766.0,143.0,849.0,02-15
2378,55476.0,63950,10109,7092,1382,10204.0,2450.0,3543.0,5111.0,1446.0,122.0,2174.0,02-14
2454,52324.0,59907,13435,6215,1368,8030.0,2807.0,13452.0,15177.0,1471.0,254.0,-174.0,02-13
2551,,44765,16067,5066,1116,8204.0,3342.0,,2057.0,1068.0,99.0,871.0,02-12
2632,,42747,21675,4301,1017,7333.0,3536.0,,2523.0,1019.0,108.0,849.0,02-11
2697,,40262,23589,3551,909,6484.0,4008.0,,3100.0,900.0,97.0,296.0,02-10
2744,,37289,28942,2900,813,6188.0,3916.0,,2695.0,849.0,90.0,87.0,02-09
2792,,34673,27657,2375,724,6101.0,4214.0,,3476.0,833.0,87.0,1280.0,02-08
2870,,31264,26359,1753,637,4821.0,4833.0,,3204.0,600.0,73.0,962.0,02-07
2937,,28138,24702,1373,564,3859.0,5328.0,,3775.0,481.0,73.0,640.0,02-06
2985,,24434,23260,1018,493,3219.0,3971.0,,3960.0,388.0,68.0,431.0,02-05
3037,,20530,23214,718,426,2788.0,5072.0,,3294.0,243.0,65.0,492.0,02-04
3085,,17341,21558,527,361,2296.0,5173.0,,2930.0,199.0,57.0,186.0,02-03
3129,,14490,19544,434,304,0.0,,,,,,,02-02
3176,,11901,17988,275,259,,,,,,,,02-01
3213,,9811,15238,214,213,,,,,,,,01-31
3241,,8149,12167,135,171,,,,,,,,01-30
3266,,6095,9239,119,133,,,,,,,,01-29
3308,,4630,6973,73,106,,,,,,,,01-28
3330,,2857,5794,56,82,,,,,,,,01-27
3365,,2076,2692,49,56,,,,,,,,01-26
3390,,1408,2032,39,42,,,,,,,,01-25
3417,,897,1076,36,26,,,,,,,,01-24
