职位名称,基本信息,公司名称,公司类型,公司规模,公司性质,公司福利,薪资,发布日期,职位详情页
大数据开发工程师,深圳-福田区|3-4年经验|大专|招3人,深圳市同和信息技术有限公司,计算机软件,500-1000人,民营公司,五险一金 年终奖金 员工旅游 绩效奖金,1-1.6万/月,11-02,https://jobs.51job.com/shenzhen-ftq/135864072.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|3-4年经验|本科|招1人,宇博信诚（北京）信息技术有限公司,计算机服务(系统、数据服务、维修),150-500人,外资（非欧美）,五险一金 员工旅游 定期体检,1.5-2万/月,11-02,https://jobs.51job.com/shenzhen-nsq/136209271.html?s=sou_sou_soulb&t=0_0
大数据开发工程师（外包）,深圳-盐田区|1年经验|本科|招5人,北京华友联创科技发展有限公司,计算机软件,,民营公司,,1-1.5万/月,11-02,https://jobs.51job.com/shenzhen-ytq/136207875.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|5-7年经验|本科|招1人,深圳市先创数字技术有限公司,计算机服务(系统、数据服务、维修),50-150人,民营公司,五险一金 年终奖金 定期体检 专业培训 员工旅游 绩效奖金 年终分红 餐饮补贴 通讯补贴,2.2-3.5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/128142727.html?s=sou_sou_soulb&t=0_0
大数据开发工程师15,深圳-福田区|3-4年经验|本科|招若干人,申朴信息技术（上海）股份有限公司,计算机软件,500-1000人,上市公司,,1.5-2万/月,11-02,https://jobs.51job.com/shenzhen-ftq/127552222.html?s=sou_sou_soulb&t=0_0
Java开发工程师（大数据）,深圳|5-7年经验|本科|招1人,深圳微众信用科技股份有限公司,计算机软件,150-500人,民营公司,五险一金 补充医疗保险 餐饮补贴 专业培训 绩效奖金 年终奖金 弹性工作 员工旅游 定期体检,1.5-2.5万/月,11-02,https://jobs.51job.com/shenzhen/133225890.html?s=sou_sou_soulb&t=0_0
AI大数据算法开发工程师,深圳-南山区|2年经验|硕士|招2人,蜂巢能源科技有限公司,新能源,1000-5000人,民营公司,五险一金 餐饮补贴 绩效奖金 年终奖金,2-2.5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/136179254.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-福田区|3-4年经验|本科|招2人,深圳的宝科技技术有限公司,互联网/电子商务,50-150人,民营公司,五险一金 绩效奖金 交通补贴 餐饮补贴 节日福利,1.5-2万/月,11-02,https://jobs.51job.com/shenzhen-ftq/134313198.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|3-4年经验|大专|招1人,深圳楚星软件有限公司,计算机软件,少于50人,民营公司,五险一金 交通补贴 年终奖金 节日福利 带薪年假 员工旅游 定期体检,1-1.8万/月,11-02,https://jobs.51job.com/shenzhen-nsq/131464431.html?s=sou_sou_soulb&t=0_0
大数据开发工程师（证券、基金方向）,深圳-福田区|3-4年经验|大专|招1人,上海罗盘信息科技有限公司,计算机软件,150-500人,民营公司,五险一金 员工旅游 专业培训 年终奖金,1-2万/月,11-02,https://jobs.51job.com/shenzhen-ftq/106874243.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-福田区|2年经验|本科|招5人,深圳市达博威科技有限公司,计算机软件,150-500人,民营公司,做五休二 周末双休 五险一金 全勤奖 节日福利 员工旅游,1.2-2万/月,11-02,https://jobs.51job.com/shenzhen-ftq/119703312.html?s=sou_sou_soulb&t=0_0
大数据开发—资格平台,深圳-南山区|5-7年经验|本科|招1人,深圳市界希科技有限公司,计算机软件,50-150人,民营公司,五险一金 绩效奖金 年终奖金 专业培训,2-3万/月,11-02,https://jobs.51job.com/shenzhen-nsq/136177478.html?s=sou_sou_soulb&t=0_0
大数据开发工程师（大银行项目+加班费）,深圳-南山区|3-4年经验|本科|招若干人,上海华腾软件系统有限公司,计算机软件,500-1000人,上市公司,五险一金 年终奖金 定期体检 交通补贴 餐饮补贴 加班费,1.6-2.2万/月,11-02,https://jobs.51job.com/shenzhen-nsq/136186863.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-福田区|3-4年经验|本科|招1人,深圳市博悦科创科技有限公司,计算机软件,500-1000人,民营公司,五险一金 定期体检 年终奖金 年度旅游 补充医疗保险 交通补贴,1.5-2.1万/月,11-02,https://jobs.51job.com/shenzhen-ftq/136177401.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-福田区|2年经验|本科|招3人,西安立人行档案文件管理咨询有限公司,计算机软件,150-500人,民营公司,五险一金 节日福利 交通补贴 餐饮补贴 年终奖金 定期体检,1-2万/月,11-02,https://jobs.51job.com/shenzhen-ftq/125231932.html?s=sou_sou_soulb&t=0_0
38661-在线视频大数据高级开发工程师（深圳）,深圳-南山区|5-7年经验|本科|招1人,深圳市腾讯计算机系统有限公司,互联网/电子商务,10000人以上,民营公司,,3-6万/月,11-02,https://jobs.51job.com/shenzhen-nsq/136174108.html?s=sou_sou_soulb&t=0_0
高级大数据开发工程师,深圳-南山区|5-7年经验|本科|招2人,深圳市汇德信息技术服务科技有限公司,电子技术/半导体/集成电路,,民营公司,五险一金 员工旅游 绩效奖金 年终奖金 定期体检 股票期权 专业培训,2-3.5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/136017583.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳|3-4年经验|本科|招若干人,上海润和信息技术服务有限公司,计算机软件,1000-5000人,上市公司,,1.5-2万/月,11-02,https://jobs.51job.com/shenzhen/133363926.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|3-4年经验|本科|招若干人,深圳市路通网络技术有限公司,通信/电信运营、增值服务,500-1000人,民营公司,五险一金 绩效奖金 员工旅游 定期体检 带薪年假 节日福利 全勤奖 专业培训,1.5-3万/月,11-02,https://jobs.51job.com/shenzhen-nsq/133351042.html?s=sou_sou_soulb&t=0_0
高级大数据开发工程师,深圳-南山区|2年经验|本科|招5人,北明软件有限公司,计算机软件,1000-5000人,上市公司,五险一金 员工旅游 餐饮补贴 年终奖金 定期体检 专业培训 免费班车,1.5-2.5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/132843748.html?s=sou_sou_soulb&t=0_0
大数据开发经理,深圳-南山区|5-7年经验|本科|招若干人,深圳市太乙传心科技有限公司,计算机服务(系统、数据服务、维修),少于50人,民营公司,,1.5-2万/月,11-02,https://jobs.51job.com/shenzhen-nsq/134176251.html?s=sou_sou_soulb&t=0_0
大数据开发工程师,深圳-南山区|5-7年经验|本科|招2人,深圳国泰安教育技术有限公司,教育/培训/院校,500-1000人,合资,五险一金 绩效奖金 专业培训,1.8-2.5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/123620211.html?s=sou_sou_soulb&t=0_0
软件工程师（大数据）,深圳-南山区|1年经验|本科|招若干人,深圳市思科泰技术股份有限公司,通信/电信/网络设备,50-150人,民营公司,五险一金 定期体检 带薪年假 节日福利 全勤奖 餐饮补贴 周末双休 包住宿 加班补贴,0.8-1.5万/月,11-02,https://jobs.51job.com/shenzhen-nsq/124198498.html?s=sou_sou_soulb&t=0_0
大数据平台工程师,深圳-福田区|3-4年经验|本科|招2人,深圳市丰宜科技有限公司,计算机软件,150-500人,外资（欧美）,五险一金 餐饮补贴 绩效奖金 年终奖金,1.5-2.5万/月,11-02,https://jobs.51job.com/shenzhen-ftq/135508109.html?s=sou_sou_soulb&t=0_0
大数据开发实习生/包住,深圳-宝安区|无需经验|大专|招4人,深圳市亦晨信息科技有限公司,计算机软件,,民营公司,,6-8千/月,11-02,https://jobs.51job.com/shenzhen-baq/136047412.html?s=sou_sou_soulb&t=0_0
