链接,播放量,点赞量,硬币,收藏,分享,日期,标签,标签数量,是否活动,弹幕数,全站排名
https://www.bilibili.com/video/BV1Vq4y1G7nh,1090,278,13,13,分享,2021-10-21 13:57:08, 历史 资讯 社会 星海计划 中国 青春 爱国 热血 致敬 英雄 长征,11,是,0,无
https://www.bilibili.com/video/BV1ef4y1g7Y9,1433,479,16,30,6,2021-10-23 14:04:13, 历史 人文 资讯 热点 中国 爱国 社会 致敬 缅怀 英雄 烈士,11,否,0,无
https://www.bilibili.com/video/BV17b4y1Y7x2,2413,583,31,16,6,2021-10-12 11:42:00, 生物 农村 资讯 社会 生态 云南 生活 生物多young彩云南 昆明 农业 少数民族 cop15,12,否,1,无
https://www.bilibili.com/video/BV1C341117Ps,1468,295,8,6,分享,2021-10-14 20:00:06, 资讯 社会 网络 网络安全 诈骗 安全 反诈,7,否,1,无
https://www.bilibili.com/video/BV1vr4y1y7kK,2830,396,4,14,23,2021-10-19 20:00:06, 资讯 社会 网络 犯罪 社会 诈骗 新闻 红包 微信 热点 普法 安全,12,否,3,无
https://www.bilibili.com/video/BV1KF411e79F,13134,1988,182,81,43,2021-10-20 17:18:34, 资讯 社会 星海计划 原创 植物 云南 生活 花花 表白 昆明 花,11,是,28,无
https://www.bilibili.com/video/BV12v411M7ET,2552,434,4,11,2,2021-10-18 18:06:19, 资讯 社会 北京 新闻 冬奥 奥运,6,否,1,无
https://www.bilibili.com/video/BV1ku411d7Hb,14768,3962,93,128,32,2021-10-21 19:57:55, 资讯 社会 星海计划 青春 爱国 张桂梅 媒体 教师 老师 致敬 新闻 热点,12,是,9,无
https://www.bilibili.com/video/BV11r4y1y7HW,4286,724,99,39,16,2021-10-18 16:05:41, 生物 旅游 萌宠 资讯 社会 可爱 云南 生态 昆明 海鸥 红嘴鸥 cop15,12,否,18,无
https://www.bilibili.com/video/BV1y34y1m7MR,4546,1524,105,46,8,2021-10-17 11:59:36, 警察 资讯 社会 社会 明星 英雄 禁毒 普法 致敬,9,否,10,无
https://www.bilibili.com/video/BV1Ef4y1g7PB,4048,706,11,16,8,2021-10-12 18:23:59, 生物 资讯 社会 云南 生态 小姐姐 生物多young彩云南 昆明 哈尼族 cop15,10,否,2,无
https://www.bilibili.com/video/BV1Mv411372P,11115,2011,70,81,39,2021-10-12 16:22:14, 生物 资讯 社会 中国 社会 云南 生态 生物多young彩云南 昆明 cop15,10,否,0,无
https://www.bilibili.com/video/BV1cv411377f,338,163,1,3,1,2021-10-14 14:53:42, 资讯 社会 暖心 社会 重阳节 重阳 老人 新闻 家人 敬老,10,否,0,无
https://www.bilibili.com/video/BV1kf4y177BS,2979,528,49,39,18,2021-10-11 18:08:07, 生物 资讯 社会 云南 生态 现场 生物多young彩云南 昆明 cop15,9,否,17,无
https://www.bilibili.com/video/BV1iL411G7RF,4873,1108,26,17,2,2021-10-22 19:49:56, 美国 资讯 热点 和平 外交 中国 台湾 统一 祖国 热血,10,否,2,无
https://www.bilibili.com/video/BV1E44y147kB,1278,256,2,2,3,2021-10-20 11:29:09, 体育 资讯 社会 星海计划 社会 运动 北京 奥运 热点 新闻 冬奥,11,是,1,无
https://www.bilibili.com/video/BV15q4y1d74J,6397,880,68,32,12,2021-10-13 18:01:24, 历史 旅游 资讯 社会 云南 自然 风景 口述云南 生物多young彩云南 生物多样性 cop15,11,否,11,无
https://www.bilibili.com/video/BV1Uh411J79i,1663,557,11,7,1,2021-10-14 09:38:59, 资讯 社会 感人 少年 张桂梅 学生 少先队 老师 新闻,9,否,4,无
https://www.bilibili.com/video/BV1eF411Y7jx,1494,816,32,46,7,2021-10-19 17:44:10, 历史 资讯 社会 南京 新闻 抗日战争 纪念 南京大屠杀 铭记历史,9,否,20,无
https://www.bilibili.com/video/BV1pu411Z7ih,986,307,8,8,1,2021-10-13 20:00:18, 资讯 社会 网络 安全 网络安全 信息 诈骗 反诈,8,否,2,无
https://www.bilibili.com/video/BV1H44y1x7Lx,2121,390,13,22,1,2021-10-13 15:21:02, 资讯 社会 少年 青春 共青团 青年 共产主义 社会主义 少先队,9,否,0,无
https://www.bilibili.com/video/BV1mh411J71L,4030,882,31,22,18,2021-10-11 21:29:24, 生物 资讯 社会 生态 云南 生物多young彩云南 昆明 cop15,8,否,0,无
https://www.bilibili.com/video/BV1Sf4y177U7,10360,1296,177,51,11,2021-10-15 18:18:01, 孙悟空 资讯 社会 云南 动物 生物多young彩云南 相约COP15 金丝猴 cop15,9,否,44,无
https://www.bilibili.com/video/BV1Zq4y197kv,7478,1189,37,101,10,2021-10-19 10:26:13, 历史 资讯 社会 中国 鲁迅 文学 觉醒年代 热血 致敬 英雄 青年,11,否,6,无
https://www.bilibili.com/video/BV1P34y1m7FR,2704,409,10,5,10,2021-10-15 20:00:15, 知识 人文历史 网络 网络安全 诈骗 上网 安全 反诈,8,否,0,无
https://www.bilibili.com/video/BV1iF411Y7hd,197774,29525,1690,1874,499,2021-10-22 11:23:41, 警察 资讯 社会 爱国 正能量 青春 犯罪 致敬 热点 民警 感动 人民警察,12,否,748,无
https://www.bilibili.com/video/BV1UQ4y1B7AU,2227,447,32,9,12,2021-10-15 14:09:59, 公益 资讯 社会 生活 正能量 云南 生物多young彩云南 相约COP15 志愿者 记录 cop15 COP15,12,否,2,无
https://www.bilibili.com/video/BV1Z44y1x7xF,2016,342,9,4,8,2021-10-21 09:58:17, 炉石传说 桌游棋牌 资讯 社会 云南 新冠 健康码 疫苗 昆明 防疫 疫情,11,否,0,无
https://www.bilibili.com/video/BV1Zh411J7gP,2343,520,2,14,6,2021-10-13 17:41:19, 生物 美国 资讯 社会 外交 社会 动物 环保 cop15,9,否,5,无
https://www.bilibili.com/video/BV1TP4y1b7S2,2472,485,4,9,19,2021-10-23 18:00:12, 资讯 热点 明星 娱乐 北京 新闻 群众 朝阳区,8,否,3,无
https://www.bilibili.com/video/BV1vg411F7cb,199145,18113,745,805,184,2021-10-05 15:27:59, 历史 资讯 社会 战争 中国 社会 长津湖 昆明 新闻 抗美援朝 女孩 记录,12,否,149,无
https://www.bilibili.com/video/BV1Bh411H7en,16804,2200,76,116,18,2021-10-04 12:43:47, 日本 资讯 社会 爱国 社会 战争 法制 道德 新闻,9,否,65,无
https://www.bilibili.com/video/BV1jf4y177Gc,902,289,7,5,2,2021-10-05 20:00:00, 动漫资讯 资讯 社会 大象 云南 动画 生物多young彩云南 卡通 cop15,9,否,2,无
https://www.bilibili.com/video/BV1RQ4y1Q75b,7465,1624,108,43,10,2021-10-03 13:37:27, 国庆 资讯 社会 社会 云南 英雄 致敬 边境 疫情,9,否,20,无
https://www.bilibili.com/video/BV1dP4y1b7ee,2232,562,19,12,16,2021-10-01 20:00:09, 国庆 资讯 社会 云南 正能量 生活 中国 爱国 祖国 昆明 志愿者 cop15,12,否,11,无
https://www.bilibili.com/video/BV1C3411y7WD,69679,12533,1949,1581,225,2021-09-29 20:00:09, 解放军 国庆 动漫资讯 资讯 社会 中国 爱国 正能量 动画 烈士 致敬 英雄,12,否,284,无
https://www.bilibili.com/video/BV1AT4y1o7h2,1869,502,22,16,7,2021-10-11 09:51:25, 生物 资讯 社会 日常 大象 可爱 云南 生态 原创 生物多young彩云南 昆明 cop15,12,否,5,无
https://www.bilibili.com/video/BV18f4y1c7gD,1085,272,8,21,9,2021-10-09 15:46:00, 资讯 社会 网络 新闻 普法 安全,6,否,1,无
https://www.bilibili.com/video/BV1k34y1U7sw,1472,372,6,9,3,2021-10-06 20:00:09, 动漫资讯 资讯 社会 云南 日常 大象 可爱 动画 生活记录 动物 生物多young彩云南 卡通 cop15,13,否,1,无
https://www.bilibili.com/video/BV1N34y1S7dz,17845,2195,43,74,43,2021-10-11 11:44:57, 生物 资讯 社会 生态 云南 生物多young彩云南 昆明 cop15,8,否,27,无
https://www.bilibili.com/video/BV1Gh411H7AG,5123,474,20,27,35,2021-09-30 08:00:07, 动漫资讯 资讯 社会 社会 云南 动画 生活 教育 热点 新闻 突发,11,否,4,无
https://www.bilibili.com/video/BV1144y147QJ,3643,1181,130,38,13,2021-09-30 16:34:28, 解放军 资讯 社会 正能量 中国 社会 烈士 军人 默哀 致敬,10,否,0,无
https://www.bilibili.com/video/BV1MQ4y1X7dM,8177,1240,91,68,96,2021-10-09 19:00:01, 生物 鬼畜 资讯 社会 云南 生态 老司机带带我 音乐 生物多young彩云南 云南山歌 昆明 cop15,12,否,38,无
https://www.bilibili.com/video/BV1zq4y1R76n,8849,1348,81,88,59,2021-10-09 11:05:39, 生物 资讯 社会 自然 生态 云南 环境 生物多young彩云南 生物多样性 昆明 cop15,11,否,24,无
https://www.bilibili.com/video/BV1LQ4y1D7Zq,8124,1135,147,42,35,2021-10-10 18:55:17, 生物 资讯 社会 云南 生态 生物多young彩云南 昆明 cop15,8,否,39,无
