户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途
2室1厅,中楼层/共28层,105.98平米,平层/精装,462.0,天时名苑,通州,南 北,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
3室1厅,高楼层/共26层,91.81平米,平层/简装,493.0,广安﹒康馨家园,丰台,东南 北,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,87.66平米,平层/精装,425.0,天通苑本六区,昌平,南 北,,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室2厅,中楼层/共10层,101.32平米,暂无数据/精装,538.0,柳岸方园,通州,南 北,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共12层,57.51平米,暂无数据/简装,564.0,学院南路6号,海淀,南,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,底层/共16层,85.04平米,平层/精装,999.0,富力城D区,朝阳,西 南,有,"2021年11月29日
                                                                            ","普通住宅
                                                                            "
3室1厅,中楼层/共12层,147.32平米,平层/简装,548.0,天通苑北一区,昌平,南 北,有,"2021年11月29日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共28层,89.59平米,暂无数据/精装,386.0,长阳半岛2号院,房山,南,有,"2021年11月29日
                                                                            ","普通住宅
                                                                            "
3室1厅,中楼层/共6层,70.12平米,平层/简装,960.0,交道口北二条35号院,东城,南 北,,"2021年11月29日
                                                                            ","普通住宅
                                                                            "
4室1厅,中楼层/共5层,101.24平米,平层/简装,1380.0,台基厂头条2号院,东城,南 北,,"2021年11月29日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,54.22平米,平层/简装,288.0,万柳园小区,丰台,东 西,,"2021年11月29日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共12层,52.39平米,平层/简装,295.0,当代名筑,通州,西,有,"2021年11月29日
                                                                            ","商业办公类
                                                                            "
3室1厅,低楼层/共18层,80.4平米,暂无数据/精装,790.0,华严北里小区,朝阳,南,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
1室1厅,低楼层/共29层,53.92平米,平层/精装,320.0,三环新城7号院,丰台,西 北,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共14层,90.83平米,平层/简装,285.0,首座御园一区二期,大兴,南,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室2厅,低楼层/共20层,53.57平米,平层/精装,136.0,华润悦景湾,门头沟,东南 东北,有,"2021年11月28日
                                                                            ","商业办公类
                                                                            "
2室1厅,低楼层/共22层,79.31平米,平层/精装,255.0,东亚瑞晶苑,通州,南,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共28层,79.97平米,平层/精装,675.0,金域华府二期,昌平,南,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共6层,60.46平米,平层/简装,320.0,顺五条,丰台,西 东,,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,顶层/共15层,74.24平米,暂无数据/精装,390.0,远洋一方润园6号院,朝阳,南 北,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
3室2厅,中楼层/共6层,130.38平米,错层/精装,583.0,美利新世界,大兴,南 北,,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共11层,52.1平米,平层/精装,750.0,北礼士路66号院,西城,北,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共26层,67.53平米,平层/精装,418.0,远洋山水,石景山,东,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共6层,61.11平米,平层/精装,400.0,新源南路,朝阳,南 北,,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共28层,82.29平米,平层/精装,525.0,京棉新城,朝阳,南 北,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
1室1厅,高楼层/共18层,43.57平米,平层/精装,335.0,团结湖北三条,朝阳,南,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
1室1厅,低楼层/共21层,56.34平米,平层/简装,313.0,彩虹城四区,丰台,北,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
1室1厅,中楼层/共6层,49.51平米,平层/精装,588.0,小黄庄二区,东城,南 北,,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共4层,66平米,平层/简装,790.0,砖塔胡同78号院,西城,南 西,,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,底层/共6层,59.3平米,平层/精装,620.0,甘家口小区,海淀,南 北,,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
3室2厅,高楼层/共14层,147.87平米,平层/精装,1288.0,信悦华庭,海淀,南 北,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共6层,78.97平米,平层/简装,648.0,玉海园三里,海淀,东 西,,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共26层,88.77平米,平层/精装,538.0,北苑家园茉藜园,朝阳,东南,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
3室1厅,高楼层/共11层,83.8平米,平层/精装,798.0,紫竹院98号院,海淀,东 西,有,"2021年11月28日
                                                                            ","普通住宅
                                                                            "
