户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途,单价
2室1厅,低楼层/共20层,91.46,平层/简装,460,海棠湾二期,通州,南,有,2021年11月11日,普通住宅 ,50295.21
2室1厅,底层/共7层,95.35,平层/精装,470,天鑫家园,昌平,南西南,无,2021年11月11日,普通住宅 ,49292.08
3室1厅,高楼层/共24层,106.94,平层/精装,939,今日家园,海淀,南,有,2021年11月11日,普通住宅 ,87806.25
1室2厅,中楼层/共21层,71.52,平层/精装,466,瑞丽江畔,丰台,西,有,2021年11月11日,普通住宅 ,65156.6
2室1厅,低楼层/共28层,71.05,平层/精装,330,弘善家园,朝阳,西南,有,2021年11月11日,普通住宅 ,46446.16
2室1厅,低楼层/共21层,66.92,平层/精装,287,石景嘉园,石景山,东南,有,2021年11月11日,普通住宅 ,42887.03
2室1厅,中楼层/共5层,55.52,平层/简装,219,富强西里,大兴,南北,无,2021年11月11日,普通住宅 ,39445.24
3室2厅,高楼层/共9层,142.4,平层/精装,410,加州水郡二期,房山,南北,有,2021年11月11日,普通住宅 ,28792.13
3室2厅,中楼层/共12层,138.84,平层/精装,628,万年广阳郡九号,房山,南北,有,2021年11月11日,普通住宅 ,45231.92
1室1厅,高楼层/共20层,56.29,平层/精装,422,北京北,昌平,东北,有,2021年11月11日,普通住宅 ,74968.91
2室1厅,高楼层/共18层,91.14,平层/精装,880,金泰城丽湾,丰台,南,有,2021年11月11日,普通住宅 ,96554.75
2室1厅,顶层/共3层,61.3,平层/简装,675,百万庄丑区,西城,南北,无,2021年11月11日,普通住宅 ,110114.19
3室1厅,高楼层/共6层,92.69,平层/精装,799,恩济庄82号院,海淀,南北,无,2021年11月11日,普通住宅 ,86201.32
2室1厅,中楼层/共27层,101.74,平层/精装,685,国美第一城3号院,朝阳,南,有,2021年11月11日,普通住宅 ,67328.48
3室1厅,顶层/共5层,77.4,平层/简装,728,花园村小区,海淀,南北,无,2021年11月11日,普通住宅 ,94056.85
2室1厅,中楼层/共6层,66.05,平层/简装,303,五芳园,石景山,南北,无,2021年11月11日,普通住宅 ,45874.34
2室0厅,中楼层/共5层,38.97,平层/精装,480,夕照寺西里,东城,南北,无,2021年11月11日,普通住宅 ,123171.67
2室1厅,高楼层/共6层,64.72,平层/简装,245,永华北里,大兴,南北,无,2021年11月11日,普通住宅 ,37855.38
1室1厅,低楼层/共12层,43.1,平层/简装,345,莲花池南里,丰台,南北,有,2021年11月11日,普通住宅 ,80046.4
2室1厅,低楼层/共6层,63.68,平层/精装,349,杨庄中区,石景山,南北,无,2021年11月11日,普通住宅 ,54805.28
3室1厅,底层/共6层,106.89,平层/简装,645,丰管路甲52号院,丰台,南北,无,2021年11月11日,普通住宅 ,60342.41
1室1厅,底层/共6层,35.27,平层/简装,179,八角北路11号院,石景山,南,无,2021年11月11日,普通住宅 ,50751.35
2室1厅,中楼层/共7层,59.1,平层/精装,818,裕中东里,西城,东西,无,2021年11月11日,普通住宅 ,138409.48
2室1厅,中楼层/共6层,58.1,平层/简装,340,右外东庄,丰台,南北,无,2021年11月11日,普通住宅 ,58519.79
3室2厅,中楼层/共5层,80,平层/简装,255,青春路六院,怀柔,南北,无,2021年11月11日,普通住宅 ,31875
2室1厅,中楼层/共10层,77.41,平层/精装,260,珠江丽景家园,通州,西,有,2021年11月11日,普通住宅 ,33587.39
3室2厅,中楼层/共19层,135.2,平层/精装,528,阳光水岸,顺义,东南北,有,2021年11月10日,普通住宅 ,39053.25
2室1厅,低楼层/共29层,97.62,平层/精装,573,三环新城7号院,丰台,南北,有,2021年11月10日,普通住宅 ,58696.99
1室1厅,高楼层/共20层,57.6,平层/精装,520,青年汇佳园,朝阳,南,有,2021年11月10日,普通住宅 ,90277.78
1室1厅,低楼层/共27层,66.46,平层/精装,379,K2玉蘭湾,通州,东,有,2021年11月10日,普通住宅 ,57026.78
3室2厅,中楼层/共6层,80.76,平层/简装,263,华龙小区,通州,南北,无,2021年11月10日,普通住宅 ,32565.63
2室1厅,中楼层/共6层,90.48,平层/简装,345,兴海园,大兴,南北,无,2021年11月10日,普通住宅 ,38129.97
2室1厅,低楼层/共6层,62.66,平层/精装,448,胜古北里,朝阳,东西,无,2021年11月10日,普通住宅 ,71496.97
2室1厅,中楼层/共6层,61.8,平层/精装,348,角门东里,丰台,东西,无,2021年11月10日,普通住宅 ,56310.68
2室1厅,高楼层/共15层,87.34,平层/毛坯,190,育新花园南里,大兴,南北,有,2021年11月10日,普通住宅 ,21754.06
2室1厅,中楼层/共6层,66.92,平层/精装,269,兴政西里,大兴,南北,无,2021年11月10日,普通住宅 ,40197.25
1室1厅,高楼层/共6层,62.71,平层/简装,253,兴海家园日苑,大兴,南北,无,2021年11月10日,普通住宅 ,40344.44
2室1厅,顶层/共21层,71.44,平层/精装,940,豆瓣胡同,东城,南,有,2021年11月10日,普通住宅 ,131578.95
2室1厅,低楼层/共18层,117.25,平层/简装,606,东丽温泉,丰台,东南,有,2021年11月10日,普通住宅 ,51684.43
1室1厅,底层/共6层,42.66,平层/简装,218,大井北里,丰台,南,无,2021年11月10日,普通住宅 ,51101.73
2室1厅,高楼层/共19层,75.87,平层/简装,288,时尚街区东区,通州,北,有,2021年11月10日,普通住宅 ,37959.67
1室1厅,中楼层/共16层,68.5,平层/简装,316,天兴家园,丰台,南北,有,2021年11月10日,普通住宅 ,46131.39
2室1厅,底层/共11层,78.95,平层/精装,502,炫特嘉园三期,朝阳,西北,有,2021年11月10日,普通住宅 ,63584.55
2室1厅,高楼层/共28层,88.77,平层/精装,460,旗胜家园,昌平,南北,有,2021年11月10日,普通住宅 ,51819.31
2室1厅,顶层/共6层,59.86,平层/简装,319,重聚园,石景山,南北,无,2021年11月10日,普通住宅 ,53291.01
4室2厅,底层/共7层,183.17,平层/简装,919,宣颐家园,大兴,南北西,有,2021年11月10日,普通住宅 ,50171.97
3室1厅,高楼层/共12层,146.71,平层/简装,2390,阳光丽景,西城,南北,有,2021年11月10日,普通住宅 ,162906.41
4室2厅,低楼层/共16层,187.23,平层/精装,1280,团圆居,朝阳,南北,有,2021年11月10日,普通住宅 ,68365.11
2室1厅,顶层/共6层,74.29,平层/简装,368,天通苑本四区,昌平,南北,无,2021年11月10日,普通住宅 ,49535.6
2室1厅,低楼层/共22层,83.62,平层/简装,303,金隅通和园,通州,南北,有,2021年11月10日,普通住宅 ,36235.35
2室1厅,中楼层/共18层,81.64,平层/精装,848,双紫小区,海淀,东南,有,2021年11月10日,普通住宅 ,103870.65
2室1厅,中楼层/共16层,66.31,平层/精装,750,北官厅胡同,东城,东南,有,2021年11月10日,普通住宅 ,113105.11
2室1厅,高楼层/共18层,75.54,平层/精装,310,金地格林格林,通州,南,有,2021年11月10日,普通住宅 ,41037.86
1室1厅,低楼层/共6层,43.36,平层/精装,198,北重西厂,石景山,东南北,无,2021年11月10日,普通住宅 ,45664.21
2室1厅,高楼层/共6层,78.33,平层/精装,273,龙泉花园,门头沟,南北,无,2021年11月10日,普通住宅 ,34852.55
1室1厅,高楼层/共9层,48.52,平层/精装,236,古城南路,石景山,南,有,2021年11月10日,普通住宅 ,48639.74
4室1厅,中楼层/共11层,139.66,平层/精装,516,香悦四季,顺义,南北,有,2021年11月10日,普通住宅 ,36946.87
1室1厅,中楼层/共6层,59.34,平层/精装,380,龙华园,昌平,东南北,无,2021年11月10日,普通住宅 ,64037.75
2室1厅,低楼层/共18层,60.65,平层/简装,319,青塔秀园,丰台,南,有,2021年11月10日,普通住宅 ,52596.87
1室1厅,底层/共9层,35.49,平层/简装,149,京西紫金新园,门头沟,南,有,2021年11月10日,普通住宅 ,41983.66
2室1厅,顶层/共6层,54.11,平层/精装,405,安华里社区,朝阳,东西,无,2021年11月10日,普通住宅 ,74847.53
2室1厅,低楼层/共7层,107.01,平层/精装,488,天通苑东三区,昌平,南北,无,2021年11月10日,普通住宅 ,45603.21
2室1厅,顶层/共6层,96.32,平层/精装,449,风雅园三区,昌平,南北,无,2021年11月10日,普通住宅 ,46615.45
2室1厅,中楼层/共15层,77.45,平层/简装,430,石佛营西里小区,朝阳,南北,有,2021年11月10日,普通住宅 ,55519.69
2室1厅,中楼层/共18层,89.51,平层/精装,728,远洋沁山水,石景山,南北,有,2021年11月10日,普通住宅 ,81331.69
2室1厅,底层/共6层,67.96,平层/简装,905,朝阳门北小街,东城,南北,无,2021年11月10日,普通住宅 ,133166.57
2室1厅,中楼层/共6层,58.26,平层/简装,490,柳芳南里,朝阳,南,无,2021年11月10日,普通住宅 ,84105.73
1室1厅,低楼层/共6层,43.1,平层/简装,640,玉桃园三区,西城,南,无,2021年11月10日,普通住宅 ,148491.88
2室1厅,中楼层/共6层,89.01,平层/简装,203,一品嘉园,大兴,南北,有,2021年11月10日,普通住宅 ,22806.43
3室1厅,中楼层/共5层,82.55,平层/精装,350,枣园小区,大兴,南北,无,2021年11月10日,普通住宅 ,42398.55
3室2厅,中楼层/共18层,108.16,平层/简装,568,海特花园小区,石景山,东南,有,2021年11月10日,普通住宅 ,52514.79
2室1厅,中楼层/共24层,85.16,平层/精装,398,通典铭居,通州,西,有,2021年11月10日,普通住宅 ,46735.56
2室1厅,低楼层/共6层,58.92,平层/精装,325,古城南路,石景山,南北,无,2021年11月10日,普通住宅 ,55159.54
2室1厅,高楼层/共6层,70.45,平层/精装,393,华龙苑南里,昌平,南北,无,2021年11月10日,普通住宅 ,55784.24
2室1厅,中楼层/共16层,89.65,平层/精装,1149,珠江帝景博悦,朝阳,南,有,2021年11月10日,普通住宅 ,128165.09
3室1厅,低楼层/共14层,76.37,平层/精装,550,双井东院,朝阳,南北,有,2021年11月10日,普通住宅 ,72017.81
1室1厅,高楼层/共22层,51.95,平层/精装,393,炫特嘉园一期,朝阳,南,有,2021年11月10日,普通住宅 ,75649.66
3室1厅,顶层/共6层,104.15,平层/精装,1080,紫成嘉园,海淀,南北,有,2021年11月10日,普通住宅 ,103696.59
2室1厅,低楼层/共15层,69.55,平层/其他,248,盛嘉华苑,大兴,南,有,2021年11月10日,普通住宅 ,35657.8
2室1厅,高楼层/共8层,90.23,平层/简装,278,金色漫香郡北区,大兴,南北,有,2021年11月10日,普通住宅 ,30810.15
2室1厅,顶层/共17层,68.32,平层/精装,423,四方景园三区,丰台,东,有,2021年11月10日,普通住宅 ,61914.52
2室1厅,底层/共5层,63.15,平层/简装,359,西罗园四区,丰台,南北,无,2021年11月10日,普通住宅 ,56848.77
1室1厅,低楼层/共23层,58.5,平层/精装,270,路劲世界城一期,昌平,南,有,2021年11月10日,普通住宅 ,46153.85
1室1厅,高楼层/共16层,49.69,平层/简装,252,双锦园,石景山,南,有,2021年11月10日,普通住宅 ,50714.43
2室1厅,低楼层/共15层,96.29,平层/精装,399,前进花园牡丹苑,顺义,东南,有,2021年11月10日,普通住宅 ,41437.32
1室1厅,底层/共18层,60.61,平层/简装,269,福润四季B区,朝阳,东北,有,2021年11月10日,普通住宅 ,44382.12
1室1厅,高楼层/共16层,91,平层/精装,865,温莎大道,朝阳,北,有,2021年11月10日,普通住宅 ,95054.95
3室1厅,中楼层/共6层,69.2,平层/简装,428,十里堡北里,朝阳,南北,无,2021年11月10日,普通住宅 ,61849.71
2室1厅,中楼层/共16层,74.9,平层/简装,670,蓟门东里,海淀,东北,有,2021年11月10日,普通住宅 ,89452.6
2室1厅,中楼层/共15层,71.17,平层/精装,312,金隅七零九零,通州,南,有,2021年11月10日,普通住宅 ,43838.7
2室1厅,顶层/共6层,50.6,平层/简装,475,铁东小区,海淀,南,无,2021年11月10日,普通住宅 ,93873.52
3室1厅,低楼层/共16层,88.87,平层/精装,409,润枫领尚,通州,南北,有,2021年11月10日,普通住宅 ,46022.28
2室1厅,顶层/共12层,59.6,平层/精装,598,紫竹院南路14号院,海淀,南,有,2021年11月10日,普通住宅 ,100335.57
2室1厅,中楼层/共24层,104.05,平层/简装,475,金顶街五区,石景山,西南,有,2021年11月10日,普通住宅 ,45651.13
2室1厅,中楼层/共32层,93.44,平层/精装,429,天通西苑三区,昌平,南,有,2021年11月9日,普通住宅 ,45911.82
2室1厅,高楼层/共12层,78.05,平层/简装,575,草桥欣园三区,丰台,南北,有,2021年11月9日,普通住宅 ,73670.72
2室1厅,高楼层/共6层,62.02,平层/精装,89,亚新一里,房山,南,无,2021年11月5日,普通住宅 ,14350.21
2室1厅,顶层/共6层,76.58,平层/精装,382,育芳园,丰台,南北,无,2021年11月9日,普通住宅 ,49882.48
2室1厅,底层/共4层,80.78,平层/简装,940,仓南胡同,东城,东西,无,2021年11月9日,普通住宅 ,116365.44
2室1厅,低楼层/共6层,89.94,平层/简装,460,西六砖瓦厂家属楼,海淀,南北,无,2021年11月9日,普通住宅 ,51145.21
2室1厅,中楼层/共5层,56.85,平层/简装,425,新源西里中街,朝阳,南北,无,2021年11月9日,普通住宅 ,74758.14
3室1厅,中楼层/共10层,93.21,平层/简装,379,珠江丽景家园,通州,南,有,2021年11月9日,普通住宅 ,40660.87
3室1厅,中楼层/共17层,113.96,平层/精装,675,北京北,昌平,南北,有,2021年11月9日,普通住宅 ,59231.31
2室1厅,高楼层/共22层,66.78,平层/简装,485,西坝河南里,朝阳,西南西北,有,2021年11月9日,普通住宅 ,72626.53
1室1厅,中楼层/共7层,66.24,平层/简装,405,龙禧苑一区,昌平,南北,无,2021年11月9日,普通住宅 ,61141.3
2室1厅,中楼层/共6层,90.56,平层/简装,236,碧桂园小区A区,房山,南北,无,2021年11月9日,普通住宅 ,26060.07
1室1厅,低楼层/共3层,46.39,平层/简装,385,永泰西里,海淀,南,无,2021年11月9日,普通住宅 ,82992.02
1室1厅,高楼层/共21层,59.82,平层/精装,230,首创·美澜湾F区,大兴,南,有,2021年11月9日,普通住宅 ,38448.68
3室1厅,中楼层/共5层,71,平层/精装,299,黄村西里,大兴,南北,无,2021年11月9日,普通住宅 ,42112.68
2室1厅,中楼层/共6层,74.19,平层/精装,629,永泰西里,海淀,南北,无,2021年11月9日,普通住宅 ,84782.32
3室1厅,底层/共6层,101.62,平层/精装,343,仓上小区,顺义,南北,无,2021年11月9日,普通住宅 ,33753.2
2室1厅,中楼层/共5层,53.5,平层/精装,175,东山坡二里,丰台,南北,无,2021年11月9日,普通住宅 ,32710.28
2室1厅,高楼层/共17层,97.65,平层/精装,918,北太平庄路2号院,海淀,南北,无,2021年11月9日,普通住宅 ,94009.22
3室2厅,低楼层/共9层,153.34,平层/精装,1200,万科紫苑,丰台,南北,有,2021年11月9日,普通住宅 ,78257.47
2室1厅,中楼层/共19层,72.23,平层/简装,369,弘善家园,朝阳,东北,有,2021年11月9日,普通住宅 ,51086.81
2室1厅,中楼层/共16层,60.21,平层/简装,490,光熙门北里,朝阳,南,有,2021年11月9日,普通住宅 ,81381.83
3室2厅,高楼层/共27层,123.46,平层/精装,1360,太月园,海淀,东南,有,2021年11月9日,普通住宅 ,110157.14
