区域,小区,总价,房型,面积,单价,朝向,楼层位置,装修情况,建筑时间,是否有电梯,产权类型,挂牌时间
思明,槟榔西里单号区,599.0,2室1厅,84.84平米,70604,南北,高楼层/共6层,平层/简装,1989年建/板楼 ,无,非共有 ,2021年11月27日 
思明,红杏花园,498.0,3室2厅,86.79平米,57380,南北,低楼层/共7层,暂无数据/精装,1998年建/板楼 ,无,非共有 ,2021年11月27日 
思明,恒通花园,750.0,3室2厅,101.25平米,74075,南西,中楼层/共28层,平层/简装,1998年建/塔楼 ,有,共有 ,2021年11月24日 
思明,建发花园,488.0,3室1厅,81.6平米,59804,东南北,中楼层/共8层,暂无数据/简装,2000年建/板楼 ,无,非共有 ,2021年11月24日 
思明,源昌君悦山思明,60.0,车位,39.06平米,15361,南,地下室/共1层,暂无数据/毛坯,2015年建/板塔结合 ,无,非共有 ,2020年06月04日 
思明,瑞景公园,1100.0,3室2厅,154.01平米,71424,东南北,低楼层/共25层,暂无数据/精装,2009年建/塔楼 ,有,非共有 ,2016年10月05日 
思明,龙山小区,515.0,3室2厅,86.39平米,59614,东西,中楼层/共7层,暂无数据/精装,板楼 ,无,非共有 ,2021年12月01日 
思明,联丰新城,528.0,2室1厅,86.75平米,60865,西南,高楼层/共18层,平层/简装,2008年建/板塔结合 ,有,非共有 ,2021年12月01日 
思明,东坪花园一期,389.0,2室1厅,55.05平米,70664,西北,高楼层/共18层,平层/精装,2008年建/板楼 ,有,非共有 ,2021年12月01日 
思明,蔬菜宿舍,260.0,2室1厅,37.1平米,70081,南北,低楼层/共7层,平层/精装,1989年建/板楼 ,无,非共有 ,2021年11月30日 
思明,税务小区,439.0,2室1厅,64.35平米,68221,南北,中楼层/共7层,平层/简装,1991年建/板楼 ,无,共有 ,2021年11月30日 
思明,国盟新天地,1720.0,4室2厅,210.69平米,81637,南北,中楼层/共33层,暂无数据/精装,2005年建/塔楼 ,有,共有 ,2021年11月30日 
思明,湖滨南路,830.0,3室2厅,108.29平米,76647,南,高楼层/共8层,暂无数据/精装,板楼 ,有,非共有 ,2021年11月30日 
思明,万寿路,580.0,2室1厅,71.94平米,80623,西南北,中楼层/共8层,暂无数据/精装,1998年建/板楼 ,无,非共有 ,2021年11月30日 
思明,福津大街（凤屿路356-380）,596.0,3室1厅,109.7平米,54330,南北西,高楼层/共9层,平层/精装,1999年建/板塔结合 ,无,非共有 ,2021年11月30日 
思明,中山海景广场,65.0,车位,50.45平米,12885,南西南东南,地下室/共18层,暂无数据/简装,2010年建/板楼 ,无,共有 ,2021年11月30日 
思明,罗宾森购物广场二期,378.0,1室1厅,55.48平米,68133,西北,中楼层/共49层,暂无数据/简装,2015年建/塔楼 ,有,非共有 ,2021年11月30日 
思明,太平洋广场,810.0,3室1厅,138.56平米,58459,南,中楼层/共31层,平层/其他,1998年建/塔楼 ,有,非共有 ,2021年11月30日 
思明,源昌君悦山思明,1280.0,4室2厅,162.85平米,78600,南北,高楼层/共42层,平层/简装,2015年建/塔楼 ,有,非共有 ,2021年11月30日 
思明,兴安路,418.0,1室1厅,65.74平米,63584,南北,低楼层/共3层,平层/简装,暂无数据 ,无,共有 ,2021年11月29日 
