户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途
2室1厅,低楼层/共20层,91.46平米,平层/简装,460.0,海棠湾二期,通州,南,有,2021年11月11日 ,普通住宅 
2室1厅,底层/共7层,95.35平米,平层/精装,470.0,天鑫家园,昌平,南西南,无,2021年11月11日 ,普通住宅 
3室1厅,高楼层/共24层,106.94平米,平层/精装,939.0,今日家园,海淀,南,有,2021年11月11日 ,普通住宅 
1室2厅,中楼层/共21层,71.52平米,平层/精装,466.0,瑞丽江畔,丰台,西,有,2021年11月11日 ,普通住宅 
2室1厅,低楼层/共28层,71.05平米,平层/精装,330.0,弘善家园,朝阳,西南,有,2021年11月11日 ,普通住宅 
2室1厅,低楼层/共21层,66.92平米,平层/精装,287.0,石景嘉园,石景山,东南,有,2021年11月11日 ,普通住宅 
2室1厅,中楼层/共5层,55.52平米,平层/简装,219.0,富强西里,大兴,南北,无,2021年11月11日 ,普通住宅 
3室2厅,高楼层/共9层,142.4平米,平层/精装,410.0,加州水郡二期,房山,南北,有,2021年11月11日 ,普通住宅 
3室2厅,中楼层/共12层,138.84平米,平层/精装,628.0,万年广阳郡九号,房山,南北,有,2021年11月11日 ,普通住宅 
1室1厅,高楼层/共20层,56.29平米,平层/精装,422.0,北京北,昌平,东北,有,2021年11月11日 ,普通住宅 
2室1厅,高楼层/共18层,91.14平米,平层/精装,880.0,金泰城丽湾,丰台,南,有,2021年11月11日 ,普通住宅 
2室1厅,顶层/共3层,61.3平米,平层/简装,675.0,百万庄丑区,西城,南北,无,2021年11月11日 ,普通住宅 
3室1厅,高楼层/共6层,92.69平米,平层/精装,799.0,恩济庄82号院,海淀,南北,无,2021年11月11日 ,普通住宅 
2室1厅,中楼层/共27层,101.74平米,平层/精装,685.0,国美第一城3号院,朝阳,南,有,2021年11月11日 ,普通住宅 
3室1厅,顶层/共5层,77.4平米,平层/简装,728.0,花园村小区,海淀,南北,无,2021年11月11日 ,普通住宅 
2室1厅,中楼层/共6层,66.05平米,平层/简装,303.0,五芳园,石景山,南北,无,2021年11月11日 ,普通住宅 
2室0厅,中楼层/共5层,38.97平米,平层/精装,480.0,夕照寺西里,东城,南北,无,2021年11月11日 ,普通住宅 
2室1厅,高楼层/共6层,64.72平米,平层/简装,245.0,永华北里,大兴,南北,无,2021年11月11日 ,普通住宅 
1室1厅,低楼层/共12层,43.1平米,平层/简装,345.0,莲花池南里,丰台,南北,有,2021年11月11日 ,普通住宅 
2室1厅,低楼层/共6层,63.68平米,平层/精装,349.0,杨庄中区,石景山,南北,无,2021年11月11日 ,普通住宅 
3室1厅,底层/共6层,106.89平米,平层/简装,645.0,丰管路甲52号院,丰台,南北,无,2021年11月11日 ,普通住宅 
1室1厅,底层/共6层,35.27平米,平层/简装,179.0,八角北路11号院,石景山,南,无,2021年11月11日 ,普通住宅 
2室1厅,中楼层/共7层,59.1平米,平层/精装,818.0,裕中东里,西城,东西,无,2021年11月11日 ,普通住宅 
2室1厅,中楼层/共6层,58.1平米,平层/简装,340.0,右外东庄,丰台,南北,无,2021年11月11日 ,普通住宅 
3室2厅,中楼层/共5层,80平米,平层/简装,255.0,青春路六院,怀柔,南北,无,2021年11月11日 ,普通住宅 
2室1厅,中楼层/共10层,77.41平米,平层/精装,260.0,珠江丽景家园,通州,西,有,2021年11月11日 ,普通住宅 
3室2厅,中楼层/共19层,135.2平米,平层/精装,528.0,阳光水岸,顺义,东南北,有,2021年11月10日 ,普通住宅 
2室1厅,低楼层/共29层,97.62平米,平层/精装,573.0,三环新城7号院,丰台,南北,有,2021年11月10日 ,普通住宅 
1室1厅,高楼层/共20层,57.6平米,平层/精装,520.0,青年汇佳园,朝阳,南,有,2021年11月10日 ,普通住宅 
1室1厅,低楼层/共27层,66.46平米,平层/精装,379.0,K2玉蘭湾,通州,东,有,2021年11月10日 ,普通住宅 
3室2厅,中楼层/共6层,80.76平米,平层/简装,263.0,华龙小区,通州,南北,无,2021年11月10日 ,普通住宅 
2室1厅,中楼层/共6层,90.48平米,平层/简装,345.0,兴海园,大兴,南北,无,2021年11月10日 ,普通住宅 
2室1厅,低楼层/共6层,62.66平米,平层/精装,448.0,胜古北里,朝阳,东西,无,2021年11月10日 ,普通住宅 
2室1厅,中楼层/共6层,61.8平米,平层/精装,348.0,角门东里,丰台,东西,无,2021年11月10日 ,普通住宅 
2室1厅,高楼层/共15层,87.34平米,平层/毛坯,190.0,育新花园南里,大兴,南北,有,2021年11月10日 ,普通住宅 
2室1厅,中楼层/共6层,66.92平米,平层/精装,269.0,兴政西里,大兴,南北,无,2021年11月10日 ,普通住宅 
1室1厅,高楼层/共6层,62.71平米,平层/简装,253.0,兴海家园日苑,大兴,南北,无,2021年11月10日 ,普通住宅 
2室1厅,顶层/共21层,71.44平米,平层/精装,940.0,豆瓣胡同,东城,南,有,2021年11月10日 ,普通住宅 
2室1厅,低楼层/共18层,117.25平米,平层/简装,606.0,东丽温泉,丰台,东南,有,2021年11月10日 ,普通住宅 
1室1厅,底层/共6层,42.66平米,平层/简装,218.0,大井北里,丰台,南,无,2021年11月10日 ,普通住宅 
2室1厅,高楼层/共19层,75.87平米,平层/简装,288.0,时尚街区东区,通州,北,有,2021年11月10日 ,普通住宅 
1室1厅,中楼层/共16层,68.5平米,平层/简装,316.0,天兴家园,丰台,南北,有,2021年11月10日 ,普通住宅 
2室1厅,底层/共11层,78.95平米,平层/精装,502.0,炫特嘉园三期,朝阳,西北,有,2021年11月10日 ,普通住宅 
2室1厅,高楼层/共28层,88.77平米,平层/精装,460.0,旗胜家园,昌平,南北,有,2021年11月10日 ,普通住宅 
2室1厅,顶层/共6层,59.86平米,平层/简装,319.0,重聚园,石景山,南北,无,2021年11月10日 ,普通住宅 
4室2厅,底层/共7层,183.17平米,平层/简装,919.0,宣颐家园,大兴,南北西,有,2021年11月10日 ,普通住宅 
3室1厅,高楼层/共12层,146.71平米,平层/简装,2390.0,阳光丽景,西城,南北,有,2021年11月10日 ,普通住宅 
4室2厅,低楼层/共16层,187.23平米,平层/精装,1280.0,团圆居,朝阳,南北,有,2021年11月10日 ,普通住宅 
2室1厅,顶层/共6层,74.29平米,平层/简装,368.0,天通苑本四区,昌平,南北,无,2021年11月10日 ,普通住宅 
2室1厅,低楼层/共22层,83.62平米,平层/简装,303.0,金隅通和园,通州,南北,有,2021年11月10日 ,普通住宅 
2室1厅,中楼层/共18层,81.64平米,平层/精装,848.0,双紫小区,海淀,东南,有,2021年11月10日 ,普通住宅 
2室1厅,中楼层/共16层,66.31平米,平层/精装,750.0,北官厅胡同,东城,东南,有,2021年11月10日 ,普通住宅 
2室1厅,高楼层/共18层,75.54平米,平层/精装,310.0,金地格林格林,通州,南,有,2021年11月10日 ,普通住宅 
1室1厅,低楼层/共6层,43.36平米,平层/精装,198.0,北重西厂,石景山,东南北,无,2021年11月10日 ,普通住宅 
2室1厅,高楼层/共6层,78.33平米,平层/精装,273.0,龙泉花园,门头沟,南北,无,2021年11月10日 ,普通住宅 
1室1厅,高楼层/共9层,48.52平米,平层/精装,236.0,古城南路,石景山,南,有,2021年11月10日 ,普通住宅 
4室1厅,中楼层/共11层,139.66平米,平层/精装,516.0,香悦四季,顺义,南北,有,2021年11月10日 ,普通住宅 
1室1厅,中楼层/共6层,59.34平米,平层/精装,380.0,龙华园,昌平,东南北,无,2021年11月10日 ,普通住宅 
2室1厅,低楼层/共18层,60.65平米,平层/简装,319.0,青塔秀园,丰台,南,有,2021年11月10日 ,普通住宅 
1室1厅,底层/共9层,35.49平米,平层/简装,149.0,京西紫金新园,门头沟,南,有,2021年11月10日 ,普通住宅 
2室1厅,顶层/共6层,54.11平米,平层/精装,405.0,安华里社区,朝阳,东西,无,2021年11月10日 ,普通住宅 
2室1厅,低楼层/共7层,107.01平米,平层/精装,488.0,天通苑东三区,昌平,南北,无,2021年11月10日 ,普通住宅 
2室1厅,顶层/共6层,96.32平米,平层/精装,449.0,风雅园三区,昌平,南北,无,2021年11月10日 ,普通住宅 
2室1厅,中楼层/共15层,77.45平米,平层/简装,430.0,石佛营西里小区,朝阳,南北,有,2021年11月10日 ,普通住宅 
2室1厅,中楼层/共18层,89.51平米,平层/精装,728.0,远洋沁山水,石景山,南北,有,2021年11月10日 ,普通住宅 
2室1厅,底层/共6层,67.96平米,平层/简装,905.0,朝阳门北小街,东城,南北,无,2021年11月10日 ,普通住宅 
2室1厅,中楼层/共6层,58.26平米,平层/简装,490.0,柳芳南里,朝阳,南,无,2021年11月10日 ,普通住宅 
1室1厅,低楼层/共6层,43.1平米,平层/简装,640.0,玉桃园三区,西城,南,无,2021年11月10日 ,普通住宅 
2室1厅,中楼层/共6层,89.01平米,平层/简装,203.0,一品嘉园,大兴,南北,有,2021年11月10日 ,普通住宅 
3室1厅,中楼层/共5层,82.55平米,平层/精装,350.0,枣园小区,大兴,南北,无,2021年11月10日 ,普通住宅 
3室2厅,中楼层/共18层,108.16平米,平层/简装,568.0,海特花园小区,石景山,东南,有,2021年11月10日 ,普通住宅 
2室1厅,中楼层/共24层,85.16平米,平层/精装,398.0,通典铭居,通州,西,有,2021年11月10日 ,普通住宅 
2室1厅,低楼层/共6层,58.92平米,平层/精装,325.0,古城南路,石景山,南北,无,2021年11月10日 ,普通住宅 
2室1厅,高楼层/共6层,70.45平米,平层/精装,393.0,华龙苑南里,昌平,南北,无,2021年11月10日 ,普通住宅 
2室1厅,中楼层/共16层,89.65平米,平层/精装,1149.0,珠江帝景博悦,朝阳,南,有,2021年11月10日 ,普通住宅 
3室1厅,低楼层/共14层,76.37平米,平层/精装,550.0,双井东院,朝阳,南北,有,2021年11月10日 ,普通住宅 
1室1厅,高楼层/共22层,51.95平米,平层/精装,393.0,炫特嘉园一期,朝阳,南,有,2021年11月10日 ,普通住宅 
3室1厅,顶层/共6层,104.15平米,平层/精装,1080.0,紫成嘉园,海淀,南北,有,2021年11月10日 ,普通住宅 
2室1厅,低楼层/共15层,69.55平米,平层/其他,248.0,盛嘉华苑,大兴,南,有,2021年11月10日 ,普通住宅 
2室1厅,高楼层/共8层,90.23平米,平层/简装,278.0,金色漫香郡北区,大兴,南北,有,2021年11月10日 ,普通住宅 
2室1厅,顶层/共17层,68.32平米,平层/精装,423.0,四方景园三区,丰台,东,有,2021年11月10日 ,普通住宅 
2室1厅,底层/共5层,63.15平米,平层/简装,359.0,西罗园四区,丰台,南北,无,2021年11月10日 ,普通住宅 
1室1厅,低楼层/共23层,58.5平米,平层/精装,270.0,路劲世界城一期,昌平,南,有,2021年11月10日 ,普通住宅 
1室1厅,高楼层/共16层,49.69平米,平层/简装,252.0,双锦园,石景山,南,有,2021年11月10日 ,普通住宅 
