,分行名称,纬度,经度,星期一至星期五,星期六,星期日和公眾假期,电话,传真,地址,是否有ATM,是否有柜台
0,"
          Central District Branch
        ","
22.280249
","
114.160161
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 2160 8888,  +852 2545 0950,"2A Des Voeux Road Central, Hong Kong ",有,有
1,"
          Bonham Road Branch
        ","
22.2844809
","
114.1409265
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"63 Bonham Road, Hong Kong ",有,有
2,"
          Shek Tong Tsui Branch
        ","
22.2862301
","
114.1345169
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"534 Queen's Road West,  Shek Tong Tsui, Hong Kong ",有,有
3,"
          Kennedy Town Branch
        ","
22.2834044
","
114.1293779
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"Harbour View Garden, 2-2F Catchick Street, Kennedy Town, Hong Kong ",有,有
4,"
          Connaught Road Central Branch
        ","
22.282915
","
114.157785
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"13-14 Connaught Road Central, Hong Kong ",有,没有
5,"
          Caine Road Branch
        ","
22.2808553
","
114.1526749
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"57 Caine Road, Hong Kong ",有,有
6,"
          Sheung Wan Branch
        ","
22.286276
","
114.152152
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"  Shop 1-4 G/F & 1/F, Tung Hip Commercial Building, 244-248 Des Voeux Road Central, Hong Kong",有,有
7,"
          Des Voeux Road West Branch
        ","
22.2878895
","
114.1445758
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"111-119 Des Voeux Road West, Hong Kong ",有,有
8,"
          Wyndham Street Branch
        ","
22.2812076
","
114.1564853
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"G/F, South China Building, 1-3 Wyndham Street, Central, Hong Kong ",有,有
9,"
          Western District Branch
        ","
22.28681066270472
","
114.13728140294552
",星期一至星期五:  9:00 – 17:00,星期六:  9:00 – 13:00,星期日和公眾假期:  Closed,  +852 3988 2388,,"386-388 Des Voeux Road West, Hong Kong ",有,有
