,分行名称,纬度,经度,星期一至星期五,星期六,星期日和公眾假期,电话,传真,地址,是否有ATM,是否有柜台
0,"
                    中區分行
                ","
22.280249
","
114.160161
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 2160 8888, +852 2545 0950,香港德輔道中2號A  ,有,有
1,"
                    般含道分行
                ","
22.2844809
","
114.1409265
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港般含道63號  ,有,有
2,"
                    石塘咀分行
                ","
22.2862301
","
114.1345169
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港石塘咀皇后大道西534號  ,有,有
3,"
                    堅尼地城分行
                ","
22.2834044
","
114.1293779
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港堅尼地城吉席街2-2F海怡花園  ,有,有
4,"
                    干諾道中分行
                ","
22.282915
","
114.157785
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港干諾道中13-14號  ,有,没有
5,"
                    堅道分行
                ","
22.2808553
","
114.1526749
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港堅道57號  ,有,有
6,"
                    上環分行
                ","
22.286276
","
114.152152
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,, 香港德輔道中244-248號東協商業大廈地下1-4號舖及一樓,有,有
7,"
                    德輔道西分行
                ","
22.2878895
","
114.1445758
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港德輔道西111-119號  ,有,有
8,"
                    雲咸街分行
                ","
22.2812076
","
114.1564853
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港中環雲咸街1-3號南華大廈地下  ,有,有
9,"
                    西區分行
                ","
22.28681066270472
","
114.13728140294552
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港德輔道西386-388號  ,有,有
10,"
                    第一街分行
                ","
22.2865402
","
114.1425311
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港西營盤第一街55號A  ,有,有
11,"
                    統一中心分行
                ","
22.278421
","
114.165361
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港金鐘道95號統一中心商場1021號  ,有,有
12,"
                    信德中心分行
                ","
22.288101
","
114.1512204
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港干諾道中200號信德中心二樓225號  ,有,有
13,"
                    中銀大廈分行
                ","
22.27925
","
114.161572
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 2826 6888, +852 2804 6370,香港花園道1號  ,有,有
14,"
                    中環永安集團大廈分行
                ","
22.283852
","
114.1564086
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港德輔道中71號永安集團大廈地庫至二樓  ,有,有
15,"
                    上環皇后大道西分行
                ","
22.2864297
","
114.1485646
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港上環皇后大道西2-12號  ,有,有
16,"
                    港鐵金鐘站
                ","
22.2780189
","
114.165959
",,,,,,港鐵金鐘站  ,没有,没有
17,"
                    港鐵上環站
                ","
22.286659
","
114.151947
",,,,,,港鐵上環站  ,没有,没有
18,"
                    港鐵中環站
                ","
22.281488
","
114.158554
",,,,,,港鐵中環站  ,没有,没有
19,"
                    歐陸貿易中心
                ","
22.2827585
","
114.1576765
",,,,,,干諾道中13-14號歐陸貿易中心地下W舖  ,没有,没有
20,"
                    港鐵香港站
                ","
22.28424
","
114.158882
",,,,,,港鐵香港站  ,没有,没有
21,"
                    中銀大廈 3/F
                ","
22.2796675
","
114.1612875
",,,,,,香港花園道1號中銀大厦3樓大堂  ,没有,没有
22,"
                    中銀大廈 G/F
                ","
22.2796675
","
114.1612875
",,,,,,香港花園道1號中銀大厦地下大堂  ,没有,没有
23,"
                    香港大學
                ","
22.2828229
","
114.1361807
",,,,,,香港薄扶林道香港大學黃克競樓平台  ,没有,没有
24,"
                    統一中心
                ","
22.278421
","
114.165361
",,,,,,香港金鐘道95號統一中心商場1011號  ,没有,没有
25,"
                    銀行業務處
                ","
22.2793052
","
114.1614922
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息,,, 香港花園道1號中銀大廈33樓,没有,没有
26,"
                    非銀行業務處
                ","
22.2793052
","
114.1614922
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息,,, 香港花園道1號中銀大廈33樓,没有,没有
27,"
                    政府及公營機構處
                ","
22.279334
","
114.161450
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息,,, 香港花園道1號中銀大廈33樓,没有,没有
28,"
                    工商業務一處
                ","
22.2793052
","
114.1614922
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息,,, 香港花園道1號中銀大廈24樓,没有,没有
29,"
                    工商業務二處
                ","
22.2793052
","
114.1614922
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息,,, 香港花園道1號中銀大廈9樓,没有,没有
30,"
                    港島工商中心
                ","
22.284088
","
114.156635
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息,,, 香港德輔道中71號永安集團大廈二樓,没有,没有
31,"
                    港鐵堅尼地城站
                ","
22.281316
","
114.128987
",,,,,,港鐵堅尼地城站  ,没有,没有
32,"
                    外交部
                ","
22.2770036
","
114.1630349
",,,,,,香港中環堅尼地道42號  ,没有,没有
33,"
                    中環軍營
                ","
22.282400
","
114.163202
",,,,,,香港中環軍營第10座  ,没有,没有
34,"
                    中聯辦
                ","
22.288070
","
114.139828
",,,,,,西營盤干諾道西160號  ,没有,没有
35,"
                    立法會綜合大樓
                ","
22.281806
","
114.166412
",,,,,,香港中環立法會道1號立法會綜合大樓地下部份位置  ,没有,没有
36,"
                    政府總部
                ","
22.2802975
","
114.1658597
",,,,,,香港添馬添美道2號政府總部1樓A區  ,没有,没有
37,"
                    跑馬地中銀理財中心
                ","
22.268552
","
114.186533
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港跑馬地成和道49-51A號  ,有,有
38,"
                    軒尼詩道409號分行
                ","
22.279338
","
114.180549
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港灣仔軒尼詩道409-415號  ,有,有
39,"
                    灣仔中國海外大廈分行
                ","
22.2776532
","
114.172805
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港灣仔軒尼詩道139號  ,有,有
40,"
                    港灣道分行
                ","
22.2798311
","
114.1760776
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港灣仔港灣道28號灣景中心大廈地下6號舖  ,有,有
41,"
                    灣仔胡忠大廈分行
                ","
22.2745372
","
114.1728407
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港灣仔皇后大道東213號  ,有,有
42,"
                    莊士敦道分行
                ","
22.276552
","
114.174389
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港灣仔莊士敦道152-158號  ,有,有
43,"
                    銅鑼灣分行
                ","
22.280542
","
114.183335
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港銅鑼灣軒尼詩道505號電業城地下B、C、D舖及1至3樓  ,有,有
44,"
                    跑馬地分行
                ","
22.268921
","
114.185223
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港跑馬地景光街11號  ,有,有
45,"
                    渣甸街分行
                ","
22.279608
","
114.185114
",星期一至星期五: 9:00 – 17:00,星期六: 9:00 – 13:00,星期日和公眾假期: 休息, +852 3988 2388,,香港銅鑼灣渣甸街23號兆基商業中心地下  ,有,有
46,"
                    港鐵灣仔站
                ","
22.2773543
","
114.1730167
",,,,,,港鐵灣仔站  ,没有,没有
47,"
                    跑馬地馬場(公眾席)
                ","
22.269802
","
114.18402
",,,,,,跑馬地馬場 - 公眾席入口  ,没有,没有
48,"
                    跑馬地(會員席)
                ","
22.2722588771868
","
114.1803503036499
",,,,,,跑馬地馬場一樓會員席入口  ,没有,没有
49,"
                    港鐵銅鑼灣站
                ","
22.2800834
","
114.1826128
",,,,,,港鐵銅鑼灣站  ,没有,没有
50,"
                    入境事務大樓
                ","
22.2793434
","
114.1731023
",,,,,,香港灣仔告士打道7號入境事務大樓1樓1號室  ,没有,没有
