标题,日期,作者,内容,文章链接
原创水墨动画：《民法典版成语新说》之“物归原主”,2022年03月06日 21:17,新浪网,本文转自：中国长安网妇孺皆知的成语人物，遇上民法典，他们的故事将如何续写？最高人民法院新闻局联合人民日报社策划制作的融媒体产品水墨动画《民法典版成语新说》，今日推出第三集“物归原主”，且看小区公共收益属于谁？,https://k.sina.com.cn/article_7517400647_1c0126e470590305ly.html
律师林淑菁：民法典实施以后的新情况成居民关注热点,2022年03月06日 19:52,新浪网,3月5日是第59个“学雷锋纪念日”，也是第23个“中国青年志愿者服务日”。对于广州的志愿和们来说，整个3月都将是学雷锋月。在当天的”健康生活 幸福家庭“雷锋月志愿服务活动江南中街专场活动中，志愿者们为广大居民提供法制宣传、法律援助、税法知识、健康咨询、反家庭暴力宣传等，志愿者们还为居民提供测血压、量血糖、查看口腔保洁情况等服务，受到广大居民的一好评。广东穗恒律师事务所主任林淑菁律师以面对面的方式，向参加活动的群众提供反家暴、未成年人权益保护等婚姻家事方面的法律咨询。在本次活动中，林淑菁律师对前来咨询的群众宣传了《民法典婚姻家庭编》《反家庭暴力法》、《中华人民共和国妇女权益保障法》中的法律规定，并就群众提出的法律问题进行了详细而耐心的解答，引导群众知法、守法以及懂得运用法律手段维护自身的合法权益。活动期间共接待了群众法律咨询20余人次，派发了相关法律法规的宣传资料，受到了现场群众的一致好评。该所婚姻家事志愿服务队团队成员陈文瀚向前来咨询的群众现场免费派发宣传资料。林淑菁表示，群众对民法典实施以后有哪些新情况、新变化，十分关心。很多群众咨询的问题，都集中在民法典实施以后的法律条款适用问题。比如，民法典对夫妻双方的权益保护，对继承权的相关规定等，都是市民咨询的热点问题。民法典的体系构建以民事权利为“中心轴”展开，始终尊重人民的意愿，充分反映人民的利益诉求，让人民生活得更有尊严。林淑菁表示，随着社会文明程度的提高，公众对志愿服务也有了更多需求，志愿者也要根据自己的特长，为社区群众提供专业的志愿服务。文/广州日报·新花城记者：肖欢欢图/广州日报·新花城记者：肖欢欢视频/广州日报·新花城记者：肖欢欢广州日报·新花城编辑：蔡凌跃,https://k.sina.com.cn/article_7517400647_1c0126e470590304xf.html
民法典（429）：质押合同的生效时间,2022年03月06日 18:28,新浪网,本文转自：上海电视台动产质权生效的要件是什么？动产质权何时设立？一起来学习吧！未经允许，不得转载，否则将依法追究法律责任！,https://k.sina.com.cn/article_7517400647_1c0126e4705903044z.html
用《民法典》打开热播剧《人世间》，看世间百态,2022年03月06日 17:29,新浪网,开始上课1周秉昆买房“被骗”后，需要搬出吗？法官释法受让人依据前款规定取得不动产或者动产的所有权的，原所有权人有权向无处分权人请求损害赔偿。当事人善意取得其他物权的，参照适用前两款规定。骆士宾能夺回周楠的抚养权吗？法官释法骆士宾的遗产由谁继承？法官释法 根据《中华人民共和国民法典》第一千一百二十三条规定：继承开始后，按照法定继承办理；有遗嘱的，按照遗嘱继承或者遗赠办理；有遗赠扶养协议的，按照协议办理。,https://k.sina.com.cn/article_1288915263_4cd3493f019014wxa.html
民法典（428）：什么是质押中的“流质条款”？,2022年03月05日 19:34,新浪网,本文转自：上海电视台什么是质押中的“流质条款”？未经允许，不得转载，否则将依法追究法律责任！,https://k.sina.com.cn/article_7517400647_1c0126e4705902zsmz.html
滑雪时“追尾”，该由谁负责？民法典这样规定！,2022年03月05日 12:00,新浪网,滑雪成了不少人休闲娱乐的新选择案情回顾中高级雪道滑雪运动适用民法典中的“自甘冒险”原则吗？小王滑雪时将前方小赵撞倒应该承担责任吗？民法典第一千一百六十五条规定，行为人因过错侵害他人民事权益造成损害的，应当承担侵权责任。依照法律规定推定行为人有过错，其不能证明自己没有过错的，应当承担侵权责任。滑雪场上摔倒磕碰似乎常有，小王将小赵撞倒有没有过错呢？小王将小赵撞倒受伤滑雪场是否应当承担责任？,https://k.sina.com.cn/article_2024623547_78ad4dbb019017tba.html
民法典（427）质押合同的规定,2022年03月04日 18:20,新浪网,本文转自：上海电视台民法典（427）质押合同是怎么规定的？一起来了解。未经允许，不得转载，否则将依法追究法律责任！,https://k.sina.com.cn/article_7517400647_1c0126e4705902zeff.html
干货收藏 | 民法典总则编司法解释要点梳理（条文对照）,2022年03月04日 16:00,新浪网,本文转自：上海高院↑↑↑ 为您讲述精彩普法内容的“上海高院”头条号01 优先适用特别法司法解释第1条和民法典第11条相关联，妥善处理了民法典与单行法的适用关系，维护了民法典作为基础性法律的地位。主要规定：（1）民法典第二至七编对民事关系有规定的，优先适用二至七编的规定;二至七编没有规定的，适用第一编总则编的规定（但书条款：根据其性质不能适用的除外）；（2）就同一民事关系，其他民事法律规定比民法典更加细化的，优先适用该民事法律规定；民法典规定适用其他法律的，适用该法律；（3）民法典、其他法律对民事关系没有具体规定的，可以适用民法典基本原则的规定。02 “习惯”的适用规定司法解释第2条和民法典第1条、第10条相关联，细化了“习惯”的概念，理念上更加注重弘扬社会主义核心价值观，特别是明确把核心价值观的具体要求跟民法典所称的公序良俗相提并论，并进行了很好的结合。具体规则上：（1）对民法典第十条中“习惯”的定义进行界定，应具有范围特定性、长期性、普遍遵守性的特点；（2）明确举证责任，当事人主张适用习惯的，应就习惯及其具体内容举证，必要时，法院也可以依职权查明；（3）适用习惯，不得违背社会主义核心价值观（国家层面：富强、民主、文明、和谐；社会层面：自由、平等、公正、法治；公民层面：爱国、敬业、诚信、友善），不得违背公序良俗。03 滥用权利的构成要件与法律后果司法解释第3条和民法典第132条相关联，对各项民事权利行使进行了限制性规定，为规范权利行使行为提供了法律依据：（1）滥用民事权利的考虑因素采用动态系统论的方法，从权利行使的对象、目的、时间、方式、造成当事人之间利益失衡的程度等角度进行综合考量；（2）滥用权利具有违法性，主要指损害国家利益、社会公共利益或他人合法权益；（3）权利滥用的后果是不发生相应的法律效力，如果给他人造成损害的，应承担侵权责任。01 胎儿权利的主张司法解释第4条和民法典第16条、第23条相关联，补充规定了胎儿的法定监护人可作为胎儿行使民事权利的主体，涉胎儿利益发生讼争，应直接以父母作为诉讼主体，突出了对胎儿的法律保护。02 限制民事行为能力人可实施行为的认定因素司法解释第5条和民法典第19、22条相关联，延续了原民通意见的规定，对于判断限制民事行为的未成年人和成年人实施民事法律行为是否与其年龄、智力、精神健康状况相适应，主要考虑因素有行为与本人生活相关联的程度，本人的智力、精神健康状况能否理解其行为并预见相应的后果，以及标的、数量、价款或者报酬等。每一个因素的认定标准不是固定的，应当个案衡量。01 细化了自然人监护能力的认定标准司法解释第6条和民法典第39条相关联，明确了监护能力的认定标准，连同该解释的第7至13条规定细化了监护人确定的规则，在原民通意见规定的基础上，关于自然人增加了年龄作为认定因素，并增加了有关组织监护能力的认定规则。02 遗嘱指定监护人的确定司法解释第7条和民法典第27、28、29条相关联，考虑到实践中法定监护与遗嘱指定监护并存时的争议，为避免未成年子女面临监护真空，本条明确此时父母中有监护能力的一方为当然的法定监护人。03 协议确定监护人司法解释第8条和民法典第27条、第30条相关联，强调父母的法定监护职责不可以通过协议排除，但父母没有监护能力时由其余具有监护资格的人担任监护人。04 指定监护人的原则司法解释第9条和民法典第31条第二款、第36条第一款相关联，规定指定监护人应当遵循最有利于被监护人的原则，并且原则上指定一个监护人，例外可以指定多人。05 对指定监护争议的处理司法解释第10条和民法典第31条第一款相关联，主要规定了：（1）对居委、村委会指定不服的，向法院申请指定有30天的申请期限；（2）法官审查依据为民法典第31条第二款以及本解释第9条；（3）申请变更指定的，审查依据为民法典第36条。06 意定监护协议的解除司法解释第11条和民法典第33条、第36条相关联，主要规定了意定监护双方享有任意解除权，但解除权的行使有限制，即委托人丧失或者部分丧失民事行为能力。但何谓该条款中的“正当理由”，有待于今后判例明确。07 监护终止与变更司法解释第12条和民法典第30条、第39条相关联，规定了对民法典第39条中监护终止情形有异议的救济途径。并将指定监护人纳入到民法典第30条中调整。08 委托监护并非监护职责移转司法解释第13条和民法典第34条第四款相关联，确认了监护职责委托的效力，但是明确监护职责委托不能产生监护职责移转的效力。01 申请宣告失踪的“利害关系人”的范围司法解释第14条和民法典第40条、第1045条、第1128条、第1129条相关联，在原民通意见第24条的基础上扩充了利害关系人的范围，使用了近亲属的概念。02 失踪人财产代管人的诉讼地位司法解释第15条和民法典第43条相关联，规定了失踪人财产代管人的诉讼地位、代管职责以及失踪人的债务承担。在失踪人民事主体资格并未丧失的情况下，本条直接将财产代管人列为原告具有现实意义。03 申请宣告死亡的利害关系人的范围司法解释第16条和民法典第46条、1045条、1128条、1129条相关联，主要引入了婚姻家庭编近亲属的概念、扩充了原民通意见关于利害关系人的概念和范围。该条同时规定，债权人、债务人、合伙人原则上不能作为申请人，除非有申请的必要性，并且需对必要性进行举证。04 战争期间下落不明的起算日司法解释第17条和民法典第46条第一款第一项相关联，主要规定了利害关系人对因战争而下落不明的自然人申请宣告死亡的期间计算，是对民法典第46条的补充。01民事法律行为的其他形式认定司法解释第18条对民法典第135条没有明确列举民事法律行为的其他形式进行了细化规定，将以实际行为作出意思表示规定为其他形式实施的民事法律行为。02 重大误解的认定因素司法解释第19条、第20条和民法典第147条相关联，对重大误解的概念进行了细化规定，较之民通意见的规定，第19条增加了对价格的错误认识及因果关系的表述，删除了造成较大损失的表述。第20条对民法典没有作出规定的第三人转达错误作出了补充规定，并准用第19条重大误解的规定。03 对欺诈的认定司法解释第21条对民法典第148条、第149条规定的欺诈进行了细化，与原民通意见第68条规定基本一致。对欺诈行为的认定要求一方有欺诈行为、欺诈故意，并且欺诈行为与错误认识具有因果关系，错误认识与意思表示有因果关系。04 胁迫的认定情形司法解释第22条和民法典第150条相关联，在原民通意见第69条的基础上进行了细化和完善。05 法律行为不成立的法律后果司法解释第23条和民法典第157条相关联，规定了法律行为不成立时，准用法律行为无效、被撤销或确定不发生效力的规定。早在九民会议纪要中，最高院即作出了如此规定。06 民事法律行为所附条件不可能发生的法律后果司法解释第24条和民法典第158条相关联，规定了民事法律行为所附条件不可能发生的情形，生效条件不可能，则该民事法律行为不发生效力；解除条件不可能，则该民事法律行为未附条件，其是否失效取决于相关法律法规的规定。01 共同代理规则司法解释第25条和民法典第166条、第171条、172条相关联，规定了在共同代理的情形下，擅自行使代理权应认定为无权代理或表见代理。02 复代理下紧急情况的认定情形司法解释第26条和民法典第169条相关联，是关于复代理下紧急情况的规定，在原民通意见第80条基础上增加列举了“疫情防控”。03 无权代理中举证责任的分配司法解释第27条将民法典第171条第四款“相对人知道或者应当知道行为人无权代理”的举证责任分配给了行为人。04 表见代理的认定标准与举证责任05 追认生效时间的认定司法解释第29条和民法典第145条、171条、137条相关联，规定了对于追认这类准法律行为的生效时间应该直接依据民法典第137条的规定来确定。01 正当防卫的定义司法解释第30条是对民法典第181条第一款规定的正当防卫的概念解释，表述参照了刑法第20条第一款的规定。02 防卫过当的认定标准与责任承担司法解释第31条对防卫过当和防卫不当的认定标准和责任承担作出规定。采用动态系统论的方法，规定了综合考虑因素。第三款对举证责任进行了分配，规定实施侵害行为的人应对“造成不应有的损害”承担举证责任。03 紧急避险的定义司法解释第32条关于紧急避险概念的表述参照了刑法第21条第一款的规定，是对民法典第182条规定的紧急避险进行概念解释。04 避险不当的认定标准和责任承担司法解释第33条规定了紧急避险措施是否不当或者超过必要的限度，应当综合考量危险性质、急迫程度、所保护的权益、损害后果等多个因素后进行判断，是对和民法典第182条第三款规定的细化。紧急避险人如果造成不应有的损害，应在“不应有的损害范围内”再行确定责任比例。05 对受害人适当补偿的办法司法解释第34条明确了民法典第183适当补偿的认定方法，主要有受害人所受损失、受害人已获赔偿的情况、受益人受益的多少及其经济条件等四个因素。01 诉讼时效的中止、中断的认定司法解释第35条明确规定了三年普通诉讼时效可以中止、中断，但不得延长；20年最长诉讼时效期间不得中止、中断，是对民法典第188条的理解与适用。02 特殊诉讼时效的起算规则司法解释第36条与民法典第190条、第191条相关联，对无民事行为能力人或者限制民事行为能力人遭受他人侵害的诉讼时效起算时间点进行规定。03 法定代理人请求权诉讼时效的起算规则司法解释第37条规定了关于无民事行为能力人、限制民事行为能力人法定代理人请求权诉讼时效期间的起算、对法定代理人诉讼时效期间的补充规定等规则，与民法典第188条第二款、第190条相关联，是践行未成年人利益保护最大化原则的体现。04 诉讼时效可再次中断司法解释38条规定了出现民法典规定的中断事由时，诉讼时效可再次中断的规则，与民法典第195条相关联。时间效力司法解释第39条规定了本解释的时间效力，民法典实施之前的法律事实引起的民事案件不适用本解释，在民法典实施之后，到本解释实施时尚未审结的民事案件，适用本解释，再审案件除外。（本文为作者个人学习观点）来源｜上海市虹口区人民法院文字｜ 曹艳梅责任编辑｜张巧雨,https://k.sina.com.cn/article_7517400647_1c0126e4705902zcdm.html
云南省检察机关开展“百场民法典进百乡镇”活动,2022年03月04日 09:33,新浪网, 近日，省人民检察院第六检察部检察人员到昆明市晋宁区晋城街道办事处福安村开展民法典宣传和法律咨询，启动全省检察机关“百场民法典进百乡镇”活动。 2021年11月，省检察院向省人大常委会专题报告贯彻实施民法典开展民事检察工作情况。省人大常委会提出审议意见，要求全省检察机关持续加强民法典普法宣传力度，深入推动民法典贯彻实施。为此，省检察院决定在全省检察机关部署开展“百场民法典进百乡镇”活动，让民法典走进人民群众，通过送法下乡、送法上门，积极为人民群众办实事、解难题。 近期，省检察院检察官还将利用出差办案之机，深入澜沧拉祜族自治县富东乡等边远少数民族聚居乡镇宣讲民法典。昆明、楚雄、红河、临沧等地检察机关也同步开展“百场民法典进百乡镇”活动。（云南日报 记者陈晓波） ,https://k.sina.com.cn/article_1667821284_6368eee4020012tzw.html
「民法典总则编司法解释」涉民商事诉讼的五大规则评议,2022年03月04日 09:24,新浪网,2022年2月25日，最高人民法院发布《关于适用总则编若干问题的解释》（下称《民法典总则编司法解释》）。民法典总则编作为《民法典》的总纲，具有统领性、基础性作用。纲举目张，才能准确地理解、把握好总则，才能为《民法典》的准确实施打下坚实的基础。有鉴于《民法典》具有严密的逻辑性和科学的体系性，为便于大家准确理解《民法典总则编司法解释》背后的法典化思维，准确把握民法典总则编「总」的规律和特点，准确把握《民法典》与其他民商事法律之间的关系，下文聚焦《民法典总则编司法解释》中与民商事诉讼相关的五大规则作展述，以飨诸君。《民法典总则编司法解释》第规定：“行为人对行为的性质、对方当事人或者标的物的品种、质量、规格、价格、数量等产生错误认识，人民法院可以认定为民法典第一百四十七条规定的重大误解。行为人能够证明自己实施民事法律行为时存在重大误解，并请求撤销该民事法律行为的，人民法院依法予以支持；《民法典》第147条规定“基于重大误解实施的民事法律行为，行为人有权请求人民法院或者仲裁机构予以撤销”，该条以更科学的方式继承原《民法通则》第59条（“下列民事行为，一方有权请求人民法院或者仲裁机关予以变更或者撤销：（一）行为人对行为内容有重大误解的；（二）显失公平的。被撤销的民事行为从行为开始起无效。”）及《民通意见》第73条（“对于重大误解或者显失公平的民事行为，当事人请求变更的，人民法院应当予以变更；当事人请求撤销的，人民法院可以酌情予以变更或者撤销｡ 可变更或者可撤销的民事行为，自行为成立时起超过一年当事人才请求变更或撤销的，人民法院不予保护｡”）的规定，但却没有提及“重大误解”的概念内涵和外延。《民法典总则编司法解释》第19条既继承《民通意见》第71条（“行为人因对行为的性质､对方当事人､标的物的品种､质量､规格和数量等的错误认识，使行为的后果与自己的意思相悖，并造成较大损失的，可以认定为重大误解｡”）的规定，又有所发展。1. 明确“错误认识”与“错误意思表示”之间的因果关系要件。相比于《民通意见》所规定的“使行为的后果与自己的意思相悖，并造成较大损失的”，新司法解释删除“造成较大损失”这一要件，并将“意思相悖”明确为“按照通常理解如果不发生该错误认识行为人就不会作出相应意思表示”。我们认为，这两项修改都颇为科学合理。重大误解是意思表示错误的一种，因而意思表示才是该制度的核心，而损失与否法律在所不问。“造成重大损失”的要件，亦与“显失公平”制度有混杂不清的嫌疑。《德国民法典》对于错误与行为的因果关系细化为主观与客观两个方面。《民法典总则编司法解释》第19条包括前述因果关系要件，例如所谓“按照通常理解”就是《德国民法典》中的“理智评价”标准。因此，这里的通常理解应当以一般理性人为准。实践中值得关注的是怎么解释“按照通常理解如果不发生该错误认识行为人就不会作出相应意思表示”，我们认为至少有几个要件：第一，判断标准应当以“实施民事法律行为时”为准，即动机错误在所不问；第二，应当综合判断行为时的环境，包括经济背景、行业背景、当事人交易背景等要件，错误认识需要满足重大性的标准；第三，表示错误应当以“误载不害真意”规则予以排除，因为该种错误可以通过法律行为解释的方式明确双方之真意，如轻易撤销恐于交易安全无益。2.交易习惯应当为重大误解撤销权的除外事由是一项富有创造力的规定，这应当是最高院在法律条文上的一个创新，除《民法典总则编司法解释》之外，目前尚未检索到有域外立法的先例。我们认为，这一规定的主要规范意涵在于，明确“交易习惯”是判断“错误认识”与“错误意思表示”之间是否存在因果关系客观要件的具体化。如上所述，“按照通常理解”指的是一般理性人标准，但什么是“通常理解”往往存在较大的自由裁量空间。在《民法典》施行之前，司法机关适用重大误解制度往往非常谨慎，原因之一就是缺乏具体、可操作的标准。我们认为，日后司法裁判在适用该项制度时有可能以“交易习惯”为分界线：超出交易习惯解释范围的错误，可能构成重大误解；而在交易习惯解释范围内的错误，因无法满足“按照通常理解”的标准而不构成重大误解。为规范司法裁判，最高院将“交易习惯”作为裁量红线，是一项既有科学性又有创造性的规定。《民法典总则编司法解释》第20条规定：“行为人以其意思表示存在第三人转达错误为由请求撤销民事法律行为的，适用本解释第十九条的规定。”《民通意见》第77条规定：“意思表示由第三人义务转达，而第三人由于过失转达错误或者没有转达，使他人造成损失的，一般可由意思表示人负赔偿责任。但法律另有规定或者双方另有约定的除外。”该条着力于第三人误传的责任赔偿，但是对“认定因误传而实施的法律行为之效力意义甚微”（朱庆育：《民法总则》第271页，北京大学出版社第一版）。《民法典总则编司法解释》第20条解决了误传的法律效力问题，该规定与《德国民法典》及台湾地区“民法”的规定相同。但根据域外法律规定及法律理论的观点，理解《民法典总则编司法解释》第20条需要注意以下几个问题：对于意思表示而言，是经过“人”传达还是“设施”传达并无二致，两者都是工具。《德国民法典》第120条（“意思表示由传达人或者传达机构传达不实时，可以在第119条关于因错误而作的意思表示所规定的同样条件下撤销。”）与台湾地区“民法”第89条（“意思表示，因传达人或传达机关传达不实者，得比照前条之规定撤销之。”）均规定：传达人与传达设施误传者，与表意人错误同其对待。误传适用重大误解的规则，即误传的法律后果归于表意人，其中的前提是该误传是无意的。若为有意误传，则该意思表示不是表意人作出，不能约束表意人，自然不存在撤销的问题。此时，“在适用上，可类推无权代理之规定，表意人可以追认，否则由传达人自负其责”（朱庆育：《民法总则》第271页，北京大学出版社第1版）。《民法典总则编司法解释》第21条规定：“故意告知虚假情况，或者负有告知义务的人故意隐瞒真实情况，致使当事人基于错误认识作出意思表示的，人民法院可以认定为民法典第一百四十八条、第一百四十九条规定的欺诈。”《民通意见》第68条规定：“一方当事人故意告知对方虚假情况，或者故意隐瞒真实情况，诱使对方当事人作出错误意思表示的，可以认定为欺诈行为。”这是该司法解释对于欺诈行为的定义。根据该规定，“故意告知对方虚假情况”构成法律理论中的“积极欺诈”，而“故意隐瞒真实情况”则是所谓的“消极欺诈”行为。但是，对于什么样的情况构成法律意义上的“故意隐瞒真实情况”，司法实践中存在较大争议。其中最关键的争议在于，如何界定“消极欺诈”中的告知义务？常见的争议是，在股权转让时对于公司的资产、负债情况，转让方是不是有全部如实告知的义务？例如北京高院二审的(2016)京民终233号案，争议焦点就是这一问题，北京高院最终认定：“作为商事主体，中房某某公司在签订《补充协议》时应当具备基本的注意，并据此足以对钱某某及相关企业的经营状况、还款能力等基本状况进行了解。即使按照中房某某公司上诉所称其在签订《补充协议》时疏于审查，也仅说明其在签署类似重大商事合同时缺乏应有的审慎和注意……”《民法典总则编司法解释》第21条明确消极欺诈仅限于“负有告知义务的人故意隐瞒真实情况”，这无疑为解决实践中一个长期争议提供直接依据。我们认为，理解该规定还需明确：对此，最高人民法院在答记者问中明确，“这里的告知义务的来源，包括了法律规定、交易习惯和诚信原则等”。因此，如无法律明确规定、双方当事人约定或存在交易习惯、诚实信用原则的情形，交易主体并不需要作出和盘托出式的陈述。我们认为，并非所有的法定义务都有明确的法律的强制性或禁止性的规定，实际上多数信息可能与法律的规定仅有间接关系。因此，如相关信息涉及非法事项，例如交易后果可能导致非法，知情的一方应当负有如实陈述的义务，否则可能构成民事欺诈。《民法典总则编司法解释》第24条规定：“民事法律行为所附条件不可能发生，当事人约定为生效条件的，人民法院应当认定民事法律行为不发生效力；当事人约定为解除条件的，应当认定未附条件，民事法律行为是否失效，依照民法典和相关法律、行政法规的规定认定。”实践中已早有司法裁判观点作出类似表述。例如，在最高院公报案例(2012)民提字第153号案中，最高院明确：“限制民事法律行为效力发生，使法律行为只有当约定的事实出现时才发生效力的条件；若该条件成就，则民事法律行为始发生效力，中兴冶炼厂、李某应负偿还所欠金属铜之债；同样，在（2014）民一终字第210号案中，最高院认定：“本案当事人协议约定的由原股东负责为新股东办理法定代表人变更登记手续并以此为新股东支付剩余股权转让价款的条件，不符合公司法及公司登记管理的规定，对新股东请求由以原股东办理法定代表人变更登记为支付剩余合同款项条件的主张不予支持。”《民法典总则编司法解释》第24条进一步明确司法实践中已经形成共识的观点，有学者还指出：“该解释关于法律行为制度的规定主要针对交易中出现的重大误解、误传、欺诈、胁迫等行为而展开，进一步明确了交易规则，有利于维护交易安全。”除此之外，还需要关注如何界定“条件不可能发生”，我们认为需要注意：例如“如果太阳明天从西边升起，我就将笔记本电脑卖给你”“如果下个月地球毁灭，你我关于房屋租赁的约定就作废”，即常见的事实上不可能发生。而最高院二审的（2014）民一终字第210号案中，股权转让协议约定的条件“不符合公司法及公司登记管理的规定”，则应视为法律上不可能发生。既然是“不可能发生”，则应当指的是客观上不能发生，例如“太阳明天从西边升起”属于穷尽科学规则都不能发生的情形，而“下个月地球毁灭”则属于穷尽生活经验都不可能发生的情形。实践中最容易产生争议的，应当还是在于什么是法律上的不可能，即只有超出例如（2014）民一终字第210号案中，老股东退出后显然不具备办理法定代表人变更登记的主体要件，属于法律上的不可能。又如，约定有限公司在六个月内就应完成上市作为条件，该条件亦超出上市规则的最大解释半径，应视为法律上的不可能。《民法典总则编司法解释》第28条规定：“同时符合下列条件的，人民法院可以认定为民法典第一百七十二条规定的相对人有理由相信行为人有代理权：（一）存在代理权的外观；（二）相对人不知道行为人行为时没有代理权，且无过失。《民法典》第172条规定：“行为人没有代理权、超越代理权或者代理权终止后，仍然实施代理行为，相对人有理由相信行为人有代理权的，代理行为有效。”该条笼统地规定了表见代理制度，而《民法典总则编司法解释》第28条则以《关于当前形势下审理民商事合同纠纷案件若干问题的指导意见》第13条规定（“合同法第四十九条规定的表见代理制度不仅要求代理人的无权代理行为在客观上形成具有代理权的表象，而且要求相对人在主观上善意且无过失地相信行为人有代理权。合同相对人主张构成表见代理的，应当承担举证责任，不仅应当举证证明代理行为存在诸如合同书、公章、印鉴等有权代理的客观表象形式要素，而且应当证明其善意且无过失地相信行为人具有代理权。”）为基础，明确了表见代理的要件。然而，《民法典总则编司法解释》第28条对于举证责任的规定却与此前的规则不同。2009年的《关于当前形势下审理民商事合同纠纷案件若干问题的指导意见》规定：“合同相对人主张构成表见代理的，应当承担举证责任，不仅应当举证证明代理行为存在诸如合同书、公章、印鉴等有权代理的客观表象形式要素，而且应当证明其善意且无过失地相信行为人具有代理权。”显然这里的举证责任是单方面的。我们理解：根据该规定，相对人应当就无权代理符合有代理权的外观承担举证责任，被代理人应当就相对人不符合“不知道行为人行为时没有代理权，且无过失”承担举证责任。前者与此前的规定相同，而后者则改弦更张。最高院在答记者问中指出：“本条第2款还明确了相对人对行为人实施民事法律行为时存在代理权的外观承担举证责任，被代理人就相对人不构成善意承担举证责任。这一规则既吸收了司法实务中的经验做法和学术界的研究成果，也与《民法典物权编解释一》有关善意取得规定的基本思路一致。”之所以出现这一变化，其实背后是多年的司法实践的经验结果。《民法典物权编解释一》第14条第2款明确“真实权利人主张受让人不构成善意的，应当承担举证证明责任”，这是对司法实践中善意取得中善意要件举证责任分配的总结。《民法典总则编司法解释》第28条是符合维护交易秩序安全与保障相对人信赖利益的规则，以及民事诉讼举证规则的。在原有的举证规则中，如果相对人不能承担举证责任，应承担不利后果；而根据《民法典总则编司法解释》第28条的规定，如果被代理人不能达到证据优势，则应承担不利后果。值得注意的是，《民法典总则编司法解释》第28条规定而其中的“第二项规定”又是“相对人不知道行为人行为时没有代理权，无过失”。我们认为，从命题的逻辑规则来说，被代理人只要证明“相对人知道或应当知道行为人行为时没有代理权”，证明相对人存在过失，就已完成证明责任。,https://k.sina.com.cn/article_7517400647_1c0126e4705902z8e5.html
