标题,作者,时间,内容,文章链接
仁怀人注意，新型诈骗来了......,遵义好声音,"
2022-04-26 13:01:03",4月21日下午，中国银行仁怀支行成功拦截一起电信诈骗，当场挽回市民财产损失5万余元，受害者刘先生对银行工作人员表示感谢。2022年4月21日下午，受害者刘先生来到中国银行仁怀支行咨询。“当时，刘先生将手机里的转账汇款记录给我看，并表示要马上给对方转账，神情比较焦急”，大堂经理习惯性的询问及告知转账风险。此时，刘先生接到一个电话，神情便更加紧张，一直催促银行工作人员加快办理汇款业务。银行工作人员发现,https://www.163.com/dy/article/H5SO9ERC0525KHJ9.html
警惕！网络诈骗已盯上中小学生,成长的可能,"
2022-04-26 16:56:44",作者｜冯玮近年来电信网络诈骗高发，而中小学生由于辨别力弱、控制能力差，以及疫情下网课时间增多等环境因素，使得诈骗分子也精心编制了一些套路，引诱孩子们上钩。近期，央视报道广东、江西、江苏等地相继发生了针对中小学生的网络诈骗，案件数量持续增长，数额从几百到几万元不等。先来看几个央视报道的真实案例。4月3日，家住广东东莞的三年级小学生小周在网课的间隙，使用手机玩起了网络游戏。骗子先给了小周一个QQ号，要,https://www.163.com/dy/article/H5T5P2KK0552G07Q.html
冒充“跑腿小哥”接单，男子连续诈骗5000余元,新民晚报,"
2022-04-26 12:38:10",新民晚报讯 （通讯员 宋严 记者 江跃中）全域静止封控期间，外卖小哥跑腿代购成了广大市民采购生活物资的主要途径，一时之间“跑腿小哥”供不应求。这也让不法分子动起了歪脑筋，冒充“跑腿骑手”诈骗钱财。近日，普陀警方经缜密侦查，就侦破了这样一起冒充骑手以跑腿代购为名实施诈骗的案件，涉案男子已被警方依法采取刑事强制措施。图说：丁某诈骗他人聊天记录和部分转账记录 普陀公安分局供图（下同）4月12日，普陀公安,https://www.163.com/dy/article/H5SMVK5N0512DU6N.html
仿冒平台、借疫诈骗……诈骗高发态势下，金科反诈有哪些硬核举措？,北京商报,"
2022-04-25 21:30:05","假网贷诈骗、""杀猪盘""""以房养老""、注销校园贷……这些诈骗手法你都听过吗？近期，各类电信诈骗高发，也引起金融科技公司的警惕。4月25日，北京商报记者多方采访了解到，包括蚂蚁集团、美团、度小满、360数科、同盾科技、乐信、信也科技、萨摩耶云、百融云创、融360等在内的十余家金融科技公司都在升级反诈手段，通过诈骗识别及拦截、联动警方、反诈宣传等多样举措，全面围堵。仿冒平台、蹭热点花样不断翻新各类五花八",https://www.163.com/dy/article/H5R30S980519DFFO.html
18人落网，濮阳警方打击电信诈骗战果频传！,看见濮阳,"
2022-04-25 12:31:01",近日华龙警方果断出击打掉以刘某某、陈某某为首的特大“洗钱”团伙以及以郭某某为首的“引流”诈骗团伙抓获犯罪嫌疑人18人查扣作案手机25部银行卡70余张涉案资金达数百万元案情回顾华龙区公安分局电信诈骗犯罪侦查大队紧盯涉“两卡”犯罪，以下狠手、出重拳、“打一个、带一串、端一窝”为目标，在市局反诈支队的配合下，经过分析研判，锁定一特大电信网络诈骗“洗钱”团伙。近日，华龙区分局抓捕小组在市城区、新乡原阳等地,https://www.163.com/dy/article/H5Q45Q120550BHLO.html
诈骗的升级之路，从台湾诈骗村到缅北诈骗特区，电信诈骗有多黑？,历史有些冷,"
2022-04-27 08:05:02",你遇到过电信诈骗吗？现在网络这么发达，地区警察时不时就通报：***被诈骗了几百万。也许有些人觉得，电信诈骗离我们太遥远了。其实不然，电信诈骗在我们身边发生得越来越频繁，不管是前段时间一直流行的卖茶女，还是一直没停过的网上兼职，甚至是“好友”借钱。现在更严重了，这些诈骗犯，已经开始从单纯的经济诈骗，转到人身威胁了。图源网络因此公安部门展开了更加严厉的电信诈骗调查，但是道阻且长。打击电信诈骗的道路随着,https://www.163.com/dy/article/H5TG677Q0516FI5I.html
提醒！这些都是诈骗！随州人请速转父母,随州网,"
2022-04-27 15:23:28",全国打击整治养老诈骗专项行动办公室在全国开展为期半年的打击整治养老诈骗专项行动养老诈骗常见套路都有哪些？一起来了解一下01提供虚假养老服务02投资虚假养老项目03销售虚假养老产品04虚假宣称以房养老05虚假代办养老保险06开展虚假养老帮扶再小也要当大事提醒大家常回家看看讲讲防骗知识让不法分子“不敢骗、不能骗、骗不了”来源：湖北发布了解更多随州大小事,https://www.163.com/dy/article/H5VIR0VF0514EAKT.html
警惕！远程操控成为电信诈骗“新宠”,信息新报,"
2022-04-26 11:32:47",“您好，我们这里是某快递总部，您有一个快递丢件了，您看方便操作一下给您理赔吗？”最近网络诈骗事件频繁发生，骗子手段套路层出不穷、与时俱进，随着快递行业的不断发展又有不少骗子设计了新的诈骗套路“快递丢失理赔”你会轻易相信吗？4月20日，玉环的李女士就遭遇了这样一起谎称快递丢失的诈骗。当天李女士在家突然接到一通境外电话，对方称李女士的快递丢失，并报出了快递相关信息。确实存在的快递，降低了受害者的警惕心,https://www.163.com/dy/article/H5SJ7SN00552ADWT.html
评论：打击养老诈骗 让老人安享晚年,举报,"
2022-04-27 13:42:52",据报道，近日，全国打击整治养老诈骗专项行动部署会召开，要求依法严惩养老诈骗违法犯罪。最高法、最高检纷纷部署推进打击整治养老诈骗专项行动，从严处罚养老诈骗行为，坚决斩断伸向老年人的“黑恶之手”。StartFragment号称包治百病的保健品、看上去价值连城的收藏品、看似低价的跟团游……近年来，针对老年群体的骗局屡见不鲜。不久前北京市一中院发布的一批涉老年人诈骗典型案例显示，保健品类诈骗、收藏类诈骗、,https://tj.news.163.com/22/0427/13/H5VD2PTC042098PG.html
女子遭遇“快递赔付”诈骗 建湖公安紧急止付,举报,"
2022-04-26 09:01:38",日前，江苏省盐城市建湖县公安局沿河派出所接建湖县公安局反诈中心指令得知，辖区一居民正在遭受冒充客服退款诈骗！沿河派出所民警在电话联系无法接通的情况下，迅速登门劝阻，成功阻止了这个达5万元的诈骗，及时守住了群众的钱袋子。StartFragment“你们凭什么不给我转账，对方是不是淘宝客服我还不知道吗，我买什么东西对方都知道！”“马女士，这就是个骗局，你要相信我！”18日下午，沿河派出所值班民警在获取,https://js.news.163.com/22/0426/09/H5SAJ4LS04248EAR.html
