,球队名,比赛时间,主队,得分,客队,得分,比分情况
0,四川,2021-10-16 15:00,青岛,100,四川,93,100:93
1,四川,2021-10-20 19:35,四川,84,上海,118,84:118
2,四川,2021-10-22 15:00,福建,80,四川,101,80:101
3,四川,2021-10-24 15:00,四川,66,北京,101,66:101
4,四川,2021-10-26 15:30,广东,111,四川,108,111:108
5,四川,2021-10-28 11:00,四川,96,天津,94,96:94
6,四川,2021-10-31 20:00,深圳,126,四川,107,126:107
7,四川,2021-11-02 20:00,江苏,97,四川,94,97:94
8,四川,2021-11-04 20:00,四川,78,浙江,104,78:104
9,四川,2021-11-07 11:00,四川,96,深圳,125,96:125
10,四川,2021-11-09 11:00,上海,115,四川,97,115:97
11,四川,2021-11-11 20:00,四川,100,福建,90,100:90
12,四川,2021-11-13 19:35,浙江,111,四川,81,111:81
13,同曦,2021-10-16 12:30,吉林,91,同曦,79,91:79
14,同曦,2021-10-20 19:35,同曦,90,广厦,108,90:108
15,同曦,2021-10-22 19:35,宁波,73,同曦,97,73:97
16,同曦,2021-10-24 11:00,同曦,90,山东,102,90:102
17,同曦,2021-10-26 15:00,广州,100,同曦,88,100:88
18,同曦,2021-10-28 11:00,辽宁,114,同曦,103,114:103
19,同曦,2021-10-30 15:00,同曦,101,北控,108,101:108
20,同曦,2021-11-01 19:35,山东,107,同曦,89,107:89
21,同曦,2021-11-05 15:30,新疆,92,同曦,86,92:86
22,同曦,2021-11-07 11:00,同曦,101,广州,115,101:115
23,同曦,2021-11-09 15:30,北控,101,同曦,80,101:80
24,同曦,2021-11-11 20:00,同曦,90,山西,122,90:122
25,同曦,2021-11-13 15:00,同曦,92,宁波,108,92:108
26,北控,2021-10-16 16:30,北控,93,山东,105,93:105
27,北控,2021-10-18 19:35,吉林,73,北控,93,73:93
28,北控,2021-10-21 11:00,广州,102,北控,98,102:98
29,北控,2021-10-23 19:35,北控,116,新疆,105,116:105
30,北控,2021-10-25 19:35,北控,97,山西,102,97:102
31,北控,2021-10-28 20:00,山东,95,北控,105,95:105
32,北控,2021-10-30 15:00,同曦,101,北控,108,101:108
33,北控,2021-11-03 19:35,北控,74,广厦,101,74:101
34,北控,2021-11-05 11:00,北控,95,宁波,79,95:79
35,北控,2021-11-07 20:00,新疆,84,北控,91,84:91
36,北控,2021-11-09 15:30,北控,101,同曦,80,101:80
37,北控,2021-11-11 11:00,辽宁,97,北控,86,97:86
38,北控,2021-11-13 15:00,山西,105,北控,94,105:94
39,吉林,2021-10-16 12:30,吉林,91,同曦,79,91:79
40,吉林,2021-10-18 19:35,吉林,73,北控,93,73:93
41,吉林,2021-10-21 20:00,辽宁,103,吉林,88,103:88
42,吉林,2021-10-24 15:30,吉林,111,宁波,86,111:86
43,吉林,2021-10-26 19:35,山东,93,吉林,87,93:87
44,吉林,2021-10-29 15:00,广厦,102,吉林,92,102:92
45,吉林,2021-10-31 11:00,吉林,94,广州,95,94:95
46,吉林,2021-11-02 11:00,山西,119,吉林,91,119:91
47,吉林,2021-11-04 15:00,吉林,98,山东,83,98:83
48,吉林,2021-11-06 19:35,吉林,89,辽宁,117,89:117
49,吉林,2021-11-09 19:35,宁波,95,吉林,107,95:107
50,吉林,2021-11-12 15:00,广州,107,吉林,104,107:104
51,吉林,2021-11-14 20:00,吉林,88,新疆,86,88:86
52,浙江,2021-10-17 20:00,浙江,108,福建,85,108:85
53,浙江,2021-10-19 19:35,浙江,96,北京,73,96:73
54,浙江,2021-10-21 15:30,广东,110,浙江,94,110:94
55,浙江,2021-10-23 15:00,浙江,105,青岛,98,105:98
56,浙江,2021-10-25 19:35,天津,89,浙江,128,89:128
57,浙江,2021-10-28 15:00,福建,90,浙江,100,90:100
