户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途,单价
5室2厅,中楼层/共33层,167.95,平层/精装,136.0,未来方舟E1组团（斯美郡）,云岩区,南,有,2021年12月17日 ,普通住宅 ,8098
4室2厅,低楼层/共6层,146,平层/精装,160.0,未来方舟H7组团,云岩区,东南,有,2021年12月18日 ,普通住宅 ,10959
2室1厅,高楼层/共8层,78.15,暂无数据/简装,78.0,福田巷,云岩区,南北,无,2021年12月17日 ,普通住宅 ,9981
4室2厅,中楼层/共12层,180.34,错层/毛坯,125.0,金狮小区狮子组团,云岩区,东南,有,2021年12月16日 ,普通住宅 ,6932
2室1厅,高楼层/共38层,85.7,平层/毛坯,73.0,中建华府（松柏路）,云岩区,东南,有,2021年12月15日 ,普通住宅 ,8519
4室2厅,低楼层/共48层,119.68,暂无数据/其他,110.0,中国普天中央国际·书香里,云岩区,南,有,2021年12月20日 ,普通住宅 ,9192
3室1厅,低楼层/共8层,80,暂无数据/其他,82.0,百草巷25号院,云岩区,东南,无,2021年12月20日 ,普通住宅 ,10250
2室1厅,中楼层/共9层,56.48,暂无数据/其他,40.0,锦泰家园,云岩区,南北,无,2021年12月20日 ,普通住宅 ,7083
3室2厅,中楼层/共34层,110,暂无数据/其他,110.0,未来方舟F12组团,云岩区,东南,有,2021年12月20日 ,普通住宅 ,10000
4室2厅,低楼层/共33层,168,暂无数据/其他,202.0,未来方舟E1组团（斯美郡）,云岩区,南北,有,2021年12月20日 ,普通住宅 ,12024
2室1厅,低楼层/共8层,41.09,平层/简装,46.0,第七网格翠屏巷56号,云岩区,南,无,2021年12月20日 ,普通住宅 ,11195
2室2厅,中楼层/共23层,85,暂无数据/精装,62.8,金馬国际,云岩区,南,有,2021年12月20日 ,普通住宅 ,7389
3室2厅,中楼层/共32层,116,暂无数据/精装,116.0,万科悦城,云岩区,南,有,2021年12月20日 ,普通住宅 ,10000
1室1厅,高楼层/共18层,33.36,暂无数据/其他,18.0,未来方舟F4组团,云岩区,北,有,2021年12月20日 ,普通住宅 ,5396
1室1厅,高楼层/共18层,41.11,暂无数据/其他,21.0,未来方舟F4组团,云岩区,北,有,2021年12月20日 ,普通住宅 ,5109
2室1厅,中楼层/共8层,60,暂无数据/其他,45.0,红豆巷51号,云岩区,东南,无,2021年12月20日 ,普通住宅 ,7500
2室2厅,高楼层/共27层,58.79,暂无数据/其他,60.0,万科悦城,云岩区,南,有,2021年12月20日 ,普通住宅 ,10206
2室1厅,中楼层/共8层,68,暂无数据/简装,61.2,延安北巷1号,云岩区,西南,无,2021年12月20日 ,普通住宅 ,9000
2室1厅,中楼层/共6层,50.34,暂无数据/其他,79.8,省府东街4号,云岩区,南,无,2021年12月20日 ,普通住宅 ,15853
3室2厅,高楼层/共32层,99,暂无数据/其他,98.0,美的云熙府,云岩区,南,有,2021年12月20日 ,普通住宅 ,9899
2室2厅,中楼层/共8层,84,暂无数据/其他,65.0,新印厂宿舍,云岩区,南北,无,2021年12月20日 ,普通住宅 ,7739
2室1厅,中楼层/共34层,65,平层/其他,65.0,万科城,云岩区,南,有,2021年12月19日 ,普通住宅 ,10000
3室2厅,低楼层/共33层,95.95,暂无数据/精装,95.0,未来方舟C2组团,云岩区,东南,有,2021年12月19日 ,普通住宅 ,9901
2室1厅,高楼层/共9层,41.12,平层/其他,39.0,白鹰巷30号,云岩区,东南,无,2021年12月19日 ,普通住宅 ,9485
2室1厅,中楼层/共8层,86.16,暂无数据/其他,70.0,凯发家园,云岩区,东南,有,2021年12月19日 ,普通住宅 ,8125
3室2厅,高楼层/共11层,92.18,暂无数据/精装,80.0,金狮小区顺海苑,云岩区,东西,无,2021年12月19日 ,普通住宅 ,8679
4室2厅,中楼层/共42层,117.28,暂无数据/精装,112.0,中国普天中央国际,云岩区,南,有,2021年12月19日 ,普通住宅 ,9550
3室2厅,中楼层/共7层,131.49,暂无数据/其他,85.0,碧树云天,云岩区,东南,无,2021年12月19日 ,普通住宅 ,6465
1室0厅,低楼层/共21层,45.22,平层/其他,26.0,中天Plus4组团,云岩区,南,有,2021年12月19日 ,普通住宅 ,5750
3室2厅,高楼层/共33层,95,暂无数据/其他,120.0,万科新都荟,云岩区,南北,无,2021年12月19日 ,普通住宅 ,12632
2室1厅,低楼层/共27层,62,暂无数据/精装,60.0,万科悦城,云岩区,南,有,2021年12月19日 ,普通住宅 ,9678
2室1厅,高楼层/共32层,124.5,暂无数据/精装,142.0,未来方舟E3组团,云岩区,南,有,2021年12月19日 ,普通住宅 ,11406
3室2厅,高楼层/共34层,72,暂无数据/其他,57.0,麒麟苑,云岩区,东南,有,2021年12月19日 ,普通住宅 ,7917
3室1厅,高楼层/共6层,111.25,平层/其他,102.0,中天世纪新城半山居,云岩区,东南,无,2021年12月19日 ,普通住宅 ,9169
3室2厅,中楼层/共12层,121.33,暂无数据/其他,82.0,广信四季家园,云岩区,南,有,2021年12月19日 ,普通住宅 ,6759
3室2厅,中楼层/共35层,86.31,暂无数据/精装,73.0,万科云岩大都会,云岩区,东南,有,2021年12月19日 ,普通住宅 ,8458
2室1厅,中楼层/共8层,95,暂无数据/其他,80.0,银通山庄千禧园,云岩区,东南,有,2021年12月19日 ,普通住宅 ,8422
3室2厅,高楼层/共31层,113,平层/其他,100.0,黔灵山国际社区,云岩区,东南,有,2021年12月19日 ,普通住宅 ,8850
