户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途,单价
2室1厅,低楼层/共20层,91.46,平层/简装,460.0,海棠湾二期,通州,南,有,2021年11月11日 ,普通住宅 ,50295.21
2室1厅,底层/共7层,95.35,平层/精装,470.0,天鑫家园,昌平,南西南,无,2021年11月11日 ,普通住宅 ,49292.08
3室1厅,高楼层/共24层,106.94,平层/精装,939.0,今日家园,海淀,南,有,2021年11月11日 ,普通住宅 ,87806.25
1室2厅,中楼层/共21层,71.52,平层/精装,466.0,瑞丽江畔,丰台,西,有,2021年11月11日 ,普通住宅 ,65156.6
2室1厅,低楼层/共28层,71.05,平层/精装,330.0,弘善家园,朝阳,西南,有,2021年11月11日 ,普通住宅 ,46446.16
2室1厅,低楼层/共21层,66.92,平层/精装,287.0,石景嘉园,石景山,东南,有,2021年11月11日 ,普通住宅 ,42887.03
2室1厅,中楼层/共5层,55.52,平层/简装,219.0,富强西里,大兴,南北,无,2021年11月11日 ,普通住宅 ,39445.24
3室2厅,高楼层/共9层,142.4,平层/精装,410.0,加州水郡二期,房山,南北,有,2021年11月11日 ,普通住宅 ,28792.13
3室2厅,中楼层/共12层,138.84,平层/精装,628.0,万年广阳郡九号,房山,南北,有,2021年11月11日 ,普通住宅 ,45231.92
1室1厅,高楼层/共20层,56.29,平层/精装,422.0,北京北,昌平,东北,有,2021年11月11日 ,普通住宅 ,74968.91
2室1厅,高楼层/共18层,91.14,平层/精装,880.0,金泰城丽湾,丰台,南,有,2021年11月11日 ,普通住宅 ,96554.75
2室1厅,顶层/共3层,61.3,平层/简装,675.0,百万庄丑区,西城,南北,无,2021年11月11日 ,普通住宅 ,110114.19
3室1厅,高楼层/共6层,92.69,平层/精装,799.0,恩济庄82号院,海淀,南北,无,2021年11月11日 ,普通住宅 ,86201.32
2室1厅,中楼层/共27层,101.74,平层/精装,685.0,国美第一城3号院,朝阳,南,有,2021年11月11日 ,普通住宅 ,67328.48
3室1厅,顶层/共5层,77.4,平层/简装,728.0,花园村小区,海淀,南北,无,2021年11月11日 ,普通住宅 ,94056.85
2室1厅,中楼层/共6层,66.05,平层/简装,303.0,五芳园,石景山,南北,无,2021年11月11日 ,普通住宅 ,45874.34
2室0厅,中楼层/共5层,38.97,平层/精装,480.0,夕照寺西里,东城,南北,无,2021年11月11日 ,普通住宅 ,123171.67
2室1厅,高楼层/共6层,64.72,平层/简装,245.0,永华北里,大兴,南北,无,2021年11月11日 ,普通住宅 ,37855.38
1室1厅,低楼层/共12层,43.1,平层/简装,345.0,莲花池南里,丰台,南北,有,2021年11月11日 ,普通住宅 ,80046.4
2室1厅,低楼层/共6层,63.68,平层/精装,349.0,杨庄中区,石景山,南北,无,2021年11月11日 ,普通住宅 ,54805.28
3室1厅,底层/共6层,106.89,平层/简装,645.0,丰管路甲52号院,丰台,南北,无,2021年11月11日 ,普通住宅 ,60342.41
1室1厅,底层/共6层,35.27,平层/简装,179.0,八角北路11号院,石景山,南,无,2021年11月11日 ,普通住宅 ,50751.35
2室1厅,中楼层/共7层,59.1,平层/精装,818.0,裕中东里,西城,东西,无,2021年11月11日 ,普通住宅 ,138409.48
2室1厅,中楼层/共6层,58.1,平层/简装,340.0,右外东庄,丰台,南北,无,2021年11月11日 ,普通住宅 ,58519.79
3室2厅,中楼层/共5层,80.0,平层/简装,255.0,青春路六院,怀柔,南北,无,2021年11月11日 ,普通住宅 ,31875.0
2室1厅,中楼层/共10层,77.41,平层/精装,260.0,珠江丽景家园,通州,西,有,2021年11月11日 ,普通住宅 ,33587.39
3室2厅,中楼层/共19层,135.2,平层/精装,528.0,阳光水岸,顺义,东南北,有,2021年11月10日 ,普通住宅 ,39053.25
2室1厅,低楼层/共29层,97.62,平层/精装,573.0,三环新城7号院,丰台,南北,有,2021年11月10日 ,普通住宅 ,58696.99
1室1厅,高楼层/共20层,57.6,平层/精装,520.0,青年汇佳园,朝阳,南,有,2021年11月10日 ,普通住宅 ,90277.78
1室1厅,低楼层/共27层,66.46,平层/精装,379.0,K2玉蘭湾,通州,东,有,2021年11月10日 ,普通住宅 ,57026.78
3室2厅,中楼层/共6层,80.76,平层/简装,263.0,华龙小区,通州,南北,无,2021年11月10日 ,普通住宅 ,32565.63
2室1厅,中楼层/共6层,90.48,平层/简装,345.0,兴海园,大兴,南北,无,2021年11月10日 ,普通住宅 ,38129.97
2室1厅,低楼层/共6层,62.66,平层/精装,448.0,胜古北里,朝阳,东西,无,2021年11月10日 ,普通住宅 ,71496.97
2室1厅,中楼层/共6层,61.8,平层/精装,348.0,角门东里,丰台,东西,无,2021年11月10日 ,普通住宅 ,56310.68
2室1厅,高楼层/共15层,87.34,平层/毛坯,190.0,育新花园南里,大兴,南北,有,2021年11月10日 ,普通住宅 ,21754.06
2室1厅,中楼层/共6层,66.92,平层/精装,269.0,兴政西里,大兴,南北,无,2021年11月10日 ,普通住宅 ,40197.25
1室1厅,高楼层/共6层,62.71,平层/简装,253.0,兴海家园日苑,大兴,南北,无,2021年11月10日 ,普通住宅 ,40344.44
2室1厅,顶层/共21层,71.44,平层/精装,940.0,豆瓣胡同,东城,南,有,2021年11月10日 ,普通住宅 ,131578.95
2室1厅,低楼层/共18层,117.25,平层/简装,606.0,东丽温泉,丰台,东南,有,2021年11月10日 ,普通住宅 ,51684.43
1室1厅,底层/共6层,42.66,平层/简装,218.0,大井北里,丰台,南,无,2021年11月10日 ,普通住宅 ,51101.73
2室1厅,高楼层/共19层,75.87,平层/简装,288.0,时尚街区东区,通州,北,有,2021年11月10日 ,普通住宅 ,37959.67
1室1厅,中楼层/共16层,68.5,平层/简装,316.0,天兴家园,丰台,南北,有,2021年11月10日 ,普通住宅 ,46131.39
2室1厅,底层/共11层,78.95,平层/精装,502.0,炫特嘉园三期,朝阳,西北,有,2021年11月10日 ,普通住宅 ,63584.55
2室1厅,高楼层/共28层,88.77,平层/精装,460.0,旗胜家园,昌平,南北,有,2021年11月10日 ,普通住宅 ,51819.31
2室1厅,顶层/共6层,59.86,平层/简装,319.0,重聚园,石景山,南北,无,2021年11月10日 ,普通住宅 ,53291.01
4室2厅,底层/共7层,183.17,平层/简装,919.0,宣颐家园,大兴,南北西,有,2021年11月10日 ,普通住宅 ,50171.97
3室1厅,高楼层/共12层,146.71,平层/简装,2390.0,阳光丽景,西城,南北,有,2021年11月10日 ,普通住宅 ,162906.41
4室2厅,低楼层/共16层,187.23,平层/精装,1280.0,团圆居,朝阳,南北,有,2021年11月10日 ,普通住宅 ,68365.11
2室1厅,顶层/共6层,74.29,平层/简装,368.0,天通苑本四区,昌平,南北,无,2021年11月10日 ,普通住宅 ,49535.6
2室1厅,低楼层/共22层,83.62,平层/简装,303.0,金隅通和园,通州,南北,有,2021年11月10日 ,普通住宅 ,36235.35
2室1厅,中楼层/共18层,81.64,平层/精装,848.0,双紫小区,海淀,东南,有,2021年11月10日 ,普通住宅 ,103870.65
2室1厅,中楼层/共16层,66.31,平层/精装,750.0,北官厅胡同,东城,东南,有,2021年11月10日 ,普通住宅 ,113105.11
2室1厅,高楼层/共18层,75.54,平层/精装,310.0,金地格林格林,通州,南,有,2021年11月10日 ,普通住宅 ,41037.86
1室1厅,低楼层/共6层,43.36,平层/精装,198.0,北重西厂,石景山,东南北,无,2021年11月10日 ,普通住宅 ,45664.21
2室1厅,高楼层/共6层,78.33,平层/精装,273.0,龙泉花园,门头沟,南北,无,2021年11月10日 ,普通住宅 ,34852.55
1室1厅,高楼层/共9层,48.52,平层/精装,236.0,古城南路,石景山,南,有,2021年11月10日 ,普通住宅 ,48639.74
4室1厅,中楼层/共11层,139.66,平层/精装,516.0,香悦四季,顺义,南北,有,2021年11月10日 ,普通住宅 ,36946.87
1室1厅,中楼层/共6层,59.34,平层/精装,380.0,龙华园,昌平,东南北,无,2021年11月10日 ,普通住宅 ,64037.75
2室1厅,低楼层/共18层,60.65,平层/简装,319.0,青塔秀园,丰台,南,有,2021年11月10日 ,普通住宅 ,52596.87
1室1厅,底层/共9层,35.49,平层/简装,149.0,京西紫金新园,门头沟,南,有,2021年11月10日 ,普通住宅 ,41983.66
