户型,楼层,面积,装修情况,价格,小区,区域,房屋朝向,配置电梯,挂牌时间,房屋用途
2室1厅,低楼层/共20层,91.46平米,平层/简装,460,海棠湾二期,通州,南,有,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
2室1厅,底层/共7层,95.35平米,平层/精装,470,天鑫家园,昌平,南 西南,,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
3室1厅,高楼层/共24层,106.94平米,平层/精装,939,今日家园,海淀,南,有,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
1室2厅,中楼层/共21层,71.52平米,平层/精装,466,瑞丽江畔,丰台,西,有,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共28层,71.05平米,平层/精装,330,弘善家园,朝阳,西南,有,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共21层,66.92平米,平层/精装,287,石景嘉园,石景山,东南,有,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共5层,55.52平米,平层/简装,219,富强西里,大兴,南 北,,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
3室2厅,高楼层/共9层,142.4平米,平层/精装,410,加州水郡二期,房山,南 北,有,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
3室2厅,中楼层/共12层,138.84平米,平层/精装,628,万年广阳郡九号,房山,南 北,有,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
1室1厅,高楼层/共20层,56.29平米,平层/精装,422,北京北,昌平,东 北,有,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共18层,91.14平米,平层/精装,880,金泰城丽湾,丰台,南,有,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
2室1厅,顶层/共3层,61.3平米,平层/简装,675,百万庄丑区,西城,南 北,,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
3室1厅,高楼层/共6层,92.69平米,平层/精装,799,恩济庄82号院,海淀,南 北,,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共27层,101.74平米,平层/精装,685,国美第一城3号院,朝阳,南,有,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
3室1厅,顶层/共5层,77.4平米,平层/简装,728,花园村小区,海淀,南 北,,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,66.05平米,平层/简装,303,五芳园,石景山,南 北,,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
2室0厅,中楼层/共5层,38.97平米,平层/精装,480,夕照寺西里,东城,南 北,,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共6层,64.72平米,平层/简装,245,永华北里,大兴,南 北,,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
1室1厅,低楼层/共12层,43.1平米,平层/简装,345,莲花池南里,丰台,南 北,有,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共6层,63.68平米,平层/精装,349,杨庄中区,石景山,南 北,,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
3室1厅,底层/共6层,106.89平米,平层/简装,645,丰管路甲52号院,丰台,南 北,,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
1室1厅,底层/共6层,35.27平米,平层/简装,179,八角北路11号院,石景山,南,,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共7层,59.1平米,平层/精装,818,裕中东里,西城,东 西,,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,58.1平米,平层/简装,340,右外东庄,丰台,南 北,,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
3室2厅,中楼层/共5层,80平米,平层/简装,255,青春路六院,怀柔,南 北,,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共10层,77.41平米,平层/精装,260,珠江丽景家园,通州,西,有,"2021年11月11日
                                                                            ","普通住宅
                                                                            "
3室2厅,中楼层/共19层,135.2平米,平层/精装,528,阳光水岸,顺义,东 南 北,有,"2021年11月10日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共29层,97.62平米,平层/精装,573,三环新城7号院,丰台,南 北,有,"2021年11月10日
                                                                            ","普通住宅
                                                                            "
1室1厅,高楼层/共20层,57.6平米,平层/精装,520,青年汇佳园,朝阳,南,有,"2021年11月10日
                                                                            ","普通住宅
                                                                            "
1室1厅,低楼层/共27层,66.46平米,平层/精装,379,K2玉蘭湾,通州,东,有,"2021年11月10日
                                                                            ","普通住宅
                                                                            "
3室2厅,中楼层/共6层,80.76平米,平层/简装,263,华龙小区,通州,南 北,,"2021年11月10日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,90.48平米,平层/简装,345,兴海园,大兴,南 北,,"2021年11月10日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共6层,62.66平米,平层/精装,448,胜古北里,朝阳,东 西,,"2021年11月10日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,61.8平米,平层/精装,348,角门东里,丰台,东 西,,"2021年11月10日
                                                                            ","普通住宅
                                                                            "
2室1厅,高楼层/共15层,87.34平米,平层/毛坯,190,育新花园南里,大兴,南 北,有,"2021年11月10日
                                                                            ","普通住宅
                                                                            "
2室1厅,中楼层/共6层,66.92平米,平层/精装,269,兴政西里,大兴,南 北,,"2021年11月10日
                                                                            ","普通住宅
                                                                            "
1室1厅,高楼层/共6层,62.71平米,平层/简装,253,兴海家园日苑,大兴,南 北,,"2021年11月10日
                                                                            ","普通住宅
                                                                            "
2室1厅,顶层/共21层,71.44平米,平层/精装,940,豆瓣胡同,东城,南,有,"2021年11月10日
                                                                            ","普通住宅
                                                                            "
2室1厅,低楼层/共18层,117.25平米,平层/简装,606,东丽温泉,丰台,东南,有,"2021年11月10日
                                                                            ","普通住宅
                                                                            "
1室1厅,底层/共6层,42.66平米,平层/简装,218,大井北里,丰台,南,,"2021年11月10日
                                                                            ","普通住宅
                                                                            "
