区域,小区,总价,房型,面积,单价,朝向,楼层位置,装修情况,建筑时间,是否有电梯,产权类型,挂牌时间
同安,华森公园首府,179.0,3室2厅,82.49平米,21700,北,低楼层/共12层,平层/简装,"塔楼
                      ",,"非共有
                                                                            ","2021年11月12日
                                                                            "
同安,保利叁仟栋一期,323.0,3室2厅,95.48平米,33830,南,高楼层/共46层,平层/精装,"板塔结合
                      ",有,"共有
                                                                            ","2021年11月18日
                                                                            "
同安,中海万锦熙岸,170.0,2室2厅,74.21平米,22908,南,中楼层/共24层,平层/精装,"板塔结合
                      ",有,"共有
                                                                            ","2021年11月05日
                                                                            "
同安,银华新村,98.0,3室1厅,69.84平米,14033,南 北,中楼层/共5层,平层/简装,"暂无数据
                      ",,"非共有
                                                                            ","2021年11月17日
                                                                            "
同安,长荣花园,148.0,2室2厅,59.2平米,25000,东南,中楼层/共17层,平层/简装,"2013年建/板楼
                          ",有,"非共有
                                                                            ","2021年11月03日
                                                                            "
同安,汀溪尚品,95.0,2室1厅,92.19平米,10305,南 北,低楼层/共6层,平层/简装,"2017年建/塔楼
                          ",,"共有
                                                                            ","2021年03月25日
                                                                            "
同安,阳光美郡,150.0,2室2厅,90.21平米,16628,西南,高楼层/共25层,平层/精装,"板楼
                      ",有,"非共有
                                                                            ","2020年04月15日
                                                                            "
同安,鸿梅花园,112.0,3室2厅,105.35平米,10632,南,高楼层/共7层,平层/精装,"暂无数据
                      ",,"共有
                                                                            ","2021年08月08日
                                                                            "
同安,中海万锦熙岸,155.0,2室1厅,74平米,20946,南,低楼层/共24层,平层/精装,"板塔结合
                      ",有,"非共有
                                                                            ","2020年07月20日
                                                                            "
同安,汀溪尚品,90.0,3室2厅,82.33平米,10932,东南,低楼层/共6层,平层/精装,"2017年建/板楼
                          ",有,"共有
                                                                            ","2021年08月06日
                                                                            "
同安,华森公园首府,172.0,3室2厅,80.59平米,21343,南,低楼层/共17层,平层/精装,"塔楼
                      ",有,"共有
                                                                            ","2020年12月02日
                                                                            "
同安,锦辉国际花园,118.0,2室1厅,51.13平米,23079,南,中楼层/共18层,平层/精装,"2008年建/板楼
                          ",有,"非共有
                                                                            ","2021年11月08日
                                                                            "
同安,特房银溪春墅,201.0,2室2厅,82.55平米,24349,南,中楼层/共30层,平层/精装,"2015年建/板塔结合
                          ",,"非共有
                                                                            ","2021年10月20日
                                                                            "
同安,华森公园首府,137.0,2室1厅,52.25平米,26221,南,中楼层/共17层,平层/精装,"塔楼
                      ",有,"非共有
                                                                            ","2021年08月31日
                                                                            "
同安,金都海尚国际,160.0,1室1厅,60.2平米,26579,东南 南,高楼层/共40层,平层/精装,"2015年建/板塔结合
                          ",有,"非共有
                                                                            ","2021年11月13日
                                                                            "
同安,陆丰嘉园,123.0,2室2厅,61.48平米,20007,南 北,高楼层/共6层,平层/精装,"暂无数据
                      ",,"共有
                                                                            ","2021年06月15日
                                                                            "
同安,古龙山语听溪,115.0,2室2厅,83.64平米,13750,南 北,低楼层/共13层,平层/毛坯,"2015年建/板楼
                          ",,"共有
                                                                            ","2021年06月08日
                                                                            "
同安,巴厘香泉,70.0,2室1厅,57.52平米,12170,南,中楼层/共33层,平层/毛坯,"2015年建/板楼
                          ",有,"非共有
                                                                            ","2019年08月13日
                                                                            "
同安,建发环中楼,158.0,3室2厅,125.38平米,12602,南,高楼层/共7层,平层/精装,"暂无数据
                      ",,"共有
                                                                            ","2021年10月18日
                                                                            "
同安,禹洲香溪里2#地块,135.0,2室2厅,85.81平米,15733,南,低楼层/共19层,平层/毛坯,"塔楼
                      ",有,"非共有
                                                                            ","2021年09月02日
                                                                            "
同安,厦航同城湾,102.8,1室1厅,46.98平米,21882,北,低楼层/共24层,平层/精装,"2009年建/板楼
                          ",有,"共有
                                                                            ","2021年07月07日
                                                                            "
同安,大族泉天下,208.0,4室2厅,168.12平米,12373,东南 北,低楼层/共1层,暂无数据/毛坯,"板楼
                      ",,"非共有
                                                                            ","2021年07月06日
                                                                            "
同安,古庄新城一期,100.0,2室1厅,39.03平米,25622,南,中楼层/共6层,平层/精装,"2010年建/板楼
                          ",,"非共有
                                                                            ","2020年09月12日
                                                                            "
同安,中海万锦熙岸,163.6,2室1厅,74.33平米,22010,南,低楼层/共24层,平层/精装,"2017年建/板塔结合
                          ",有,"非共有
                                                                            ","2020年08月05日
                                                                            "
同安,禹洲香溪里3#地块,150.0,3室1厅,81.34平米,18442,南,低楼层/共16层,平层/精装,"暂无数据
                      ",,"共有
                                                                            ","2021年11月19日
                                                                            "
同安,莲福广场,58.0,1室0厅,28.97平米,20021,南,中楼层/共5层,平层/精装,"2004年建/板楼
                          ",,"非共有
                                                                            ","2021年10月16日
                                                                            "
同安,中海万锦熙岸,159.8,2室2厅,73.99平米,21598,南,低楼层/共24层,平层/精装,"板塔结合
                      ",有,"非共有
                                                                            ","2021年08月18日
                                                                            "
同安,中海万锦熙岸,179.0,2室2厅,74.31平米,24089,南,中楼层/共24层,平层/精装,"板塔结合
                      ",有,"非共有
                                                                            ","2021年07月25日
                                                                            "
同安,华森公园首府,185.0,3室1厅,82.37平米,22460,北,高楼层/共12层,平层/精装,"塔楼
                      ",,"非共有
                                                                            ","2021年07月17日
                                                                            "
同安,建发中央天悦,260.0,3室2厅,119.16平米,21820,南,低楼层/共32层,复式/毛坯,"暂无数据
                      ",,"共有
                                                                            ","2021年07月15日
                                                                            "
同安,同安大唐世家六期,96.0,2室1厅,48.62平米,19745,东 西,中楼层/共7层,平层/精装,"板塔结合
                      ",,"非共有
                                                                            ","2021年07月13日
                                                                            "
同安,禹洲香溪里4#地块,146.0,2室1厅,82.63平米,17670,南,中楼层/共19层,平层/精装,"暂无数据
                      ",有,"非共有
                                                                            ","2021年07月12日
                                                                            "
同安,航空祥郡,208.0,3室2厅,84.81平米,24526,南,低楼层/共28层,平层/毛坯,"板塔结合
                      ",有,"非共有
                                                                            ","2021年07月10日
                                                                            "
同安,中海万锦熙岸,242.8,3室2厅,108.41平米,22397,南 北,中楼层/共34层,平层/精装,"2015年建/板塔结合
                          ",有,"共有
                                                                            ","2021年05月22日
                                                                            "
同安,西池小区,120.0,2室2厅,80.28平米,14948,南,高楼层/共8层,平层/精装,"暂无数据
                      ",,"非共有
                                                                            ","2021年04月21日
                                                                            "
同安,古庄新城一期,358.0,4室2厅,201.29平米,17786,南,高楼层/共6层,跃层/精装,"2010年建/板楼
                          ",,"共有
                                                                            ","2021年04月08日
                                                                            "
同安,巴厘香泉,112.0,3室2厅,92.5平米,12109,南 北,中楼层/共33层,平层/精装,"2015年建/板塔结合
                          ",有,"共有
                                                                            ","2021年03月15日
                                                                            "
同安,中海万锦熙岸,175.0,2室2厅,74平米,23649,南,中楼层/共24层,平层/精装,"2017年建/板塔结合
                          ",有,"共有
                                                                            ","2020年12月03日
                                                                            "
同安,瑞祥小区,192.0,3室2厅,119.26平米,16100,南 北,低楼层/共6层,平层/精装,"2004年建/板楼
                          ",,"非共有
                                                                            ","2020年11月06日
                                                                            "
同安,同城四季北座,250.0,3室2厅,131.33平米,19037,南 北,低楼层/共22层,平层/毛坯,"板塔结合
                      ",有,"非共有
                                                                            ","2020年08月20日
                                                                            "
