日期,天气状况,气温,风力风向
2011-01-01,晴/多云,13℃/5℃,无持续风向≤3级/无持续风向≤3级
2011-01-02,多云/多云,14℃/5℃,无持续风向≤3级/无持续风向≤3级
2011-01-03,阵雨/阴,9℃/6℃,无持续风向微风/无持续风向微风
2011-01-04,多云/阴,12℃/5℃,无持续风向微风/无持续风向微风
2011-01-05,小雨/小雨,10℃/4℃,无持续风向≤3级/无持续风向≤3级
2011-01-06,小雨/阵雨,10℃/5℃,无持续风向≤3级/无持续风向≤3级
2011-01-07,多云/多云,10℃/5℃,无持续风向≤3级/无持续风向≤3级
2011-01-08,多云/多云,12℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-01-09,阴/阴,11℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-01-10,阴/小雨,10℃/4℃,无持续风向≤3级/无持续风向≤3级
2011-01-11,小雨/小雨,7℃/3℃,无持续风向≤3级/无持续风向≤3级
2011-01-12,阴/多云,8℃/3℃,无持续风向≤3级/无持续风向≤3级
2011-01-13,多云/阴,11℃/3℃,无持续风向≤3级/无持续风向≤3级
2011-01-14,小雨/小雨,9℃/3℃,无持续风向≤3级/无持续风向≤3级
2011-01-15,小雨/晴,8℃/2℃,无持续风向微风/无持续风向微风
2011-01-16,晴/晴,8℃/1℃,无持续风向≤3级/无持续风向≤3级
2011-01-17,晴/多云,8℃/3℃,无持续风向≤3级/无持续风向≤3级
2011-01-18,多云/小雨,9℃/5℃,无持续风向≤3级/无持续风向≤3级
2011-01-19,小雨/小雨,9℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-01-20,小雨/小雨,10℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-01-21,小雨/阴,11℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-01-22,阴/阴,10℃/5℃,无持续风向≤3级/无持续风向≤3级
2011-01-23,阴/多云,13℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-01-24,阴/多云,13℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-01-25,阴/小雨,10℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-01-26,小雨/小雨,8℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-01-27,小雨/阴,10℃/5℃,无持续风向微风/无持续风向微风
2011-01-28,阴/小雨,10℃/6℃,无持续风向微风/无持续风向微风
2011-01-29,阴/多云,10℃/4℃,无持续风向≤3级/无持续风向≤3级
2011-01-30,多云/多云,9℃/1℃,无持续风向≤3级/无持续风向≤3级
2011-01-31,多云/晴,10℃/4℃,无持续风向微风/无持续风向微风
2011-02-01,阴/阴,10℃/6℃,无持续风向微风/无持续风向微风
2011-02-02,阴/多云,10℃/7℃,无持续风向微风/无持续风向微风
2011-02-03,多云/多云,15℃/6℃,无持续风向微风/无持续风向微风
2011-02-04,多云/晴,18℃/7℃,无持续风向微风/无持续风向微风
2011-02-05,晴/晴,19℃/8℃,无持续风向微风/无持续风向微风
2011-02-06,晴/晴,20℃/9℃,无持续风向微风/无持续风向微风
2011-02-07,晴/多云,19℃/10℃,无持续风向微风/无持续风向微风
2011-02-08,多云/多云,22℃/11℃,无持续风向微风/无持续风向微风
2011-02-09,阴/小雨,19℃/10℃,无持续风向微风/无持续风向微风
2011-02-10,小雨/小雨,16℃/9℃,无持续风向微风/无持续风向微风
2011-02-11,阴/多云,11℃/4℃,无持续风向≤3级/无持续风向≤3级
2011-02-12,多云/阴,10℃/4℃,无持续风向≤3级/无持续风向≤3级
2011-02-13,小雨/小雨,10℃/3℃,无持续风向微风/无持续风向微风
2011-02-14,阴/多云,10℃/3℃,无持续风向微风/无持续风向微风
2011-02-15,多云/小雨,11℃/5℃,无持续风向微风/无持续风向微风
2011-02-16,小到中雨/小到中雨,10℃/7℃,无持续风向微风/无持续风向微风
2011-02-17,小到中雨/小雨,11℃/6℃,无持续风向微风/无持续风向微风
2011-02-18,小雨/小到中雨,8℃/6℃,无持续风向微风/无持续风向微风
2011-02-19,小雨/小雨,10℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-02-20,阴/多云,12℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-02-21,多云/多云,15℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-02-22,多云/多云,17℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-02-23,多云/小雨,17℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-02-24,阴/小雨,19℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-02-25,小雨/阴,17℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-02-26,多云/多云,20℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-02-27,多云/多云,23℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-02-28,多云/阵雨,24℃/15℃,无持续风向≤3级/无持续风向≤3级
2011-03-01,小雨/阴,12℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-03-02,阵雨/阴,12℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-03-03,阴/阴,9℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-03-04,阴/多云,13℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-03-05,阴/阵雨,15℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-03-06,中雨/小到中雨,13℃/9℃,无持续风向≤3级/无持续风向≤3级
2011-03-07,阴/多云,15℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-03-08,多云/多云,17℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-03-09,多云/多云,17℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-03-10,多云/阴,18℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-03-11,阴/小雨,15℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-03-12,阴/阴,16℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-03-13,阴/阴,21℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-03-14,雷阵雨/中雨,19℃/9℃,无持续风向≤3级/无持续风向≤3级
2011-03-15,小雨/小雨,13℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-03-16,阴/多云,12℃/6℃,无持续风向≤3级/无持续风向≤3级
2011-03-17,多云/阴,15℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-03-18,阴/小到中雨,16℃/9℃,无持续风向≤3级/无持续风向≤3级
2011-03-19,小到中雨/阵雨,16℃/12℃,无持续风向≤3级/无持续风向≤3级
2011-03-20,阵雨/阵雨,21℃/16℃,无持续风向≤3级/无持续风向≤3级
2011-03-21,小到中雨/小到中雨,20℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-03-22,小雨/阴,10℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-03-23,阴/阴,12℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-03-24,阴/多云,15℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-03-25,多云/多云,14℃/9℃,无持续风向≤3级/无持续风向≤3级
2011-03-26,多云/小雨,14℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-03-27,阴/多云,14℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-03-28,多云/多云,17℃/7℃,无持续风向≤3级/无持续风向≤3级
2011-03-29,晴/晴,20℃/8℃,无持续风向≤3级/无持续风向≤3级
2011-03-30,晴/多云,23℃/9℃,无持续风向≤3级/无持续风向≤3级
2011-03-31,多云/多云,19℃/10℃,无持续风向≤3级/无持续风向≤3级
2011-04-01,多云/多云,21℃/14℃,无持续风向≤3级/无持续风向≤3级
2011-04-02,多云/阴,24℃/13℃,无持续风向≤3级/无持续风向≤3级
2011-04-03,阴/小雨,19℃/11℃,无持续风向≤3级/无持续风向≤3级
2011-04-04,阴/多云,16℃/11℃,无持续风向≤3级/无持续风向≤3级
