本数据由邢不行整理,,,,,,,,,,,,,,
基金代码,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
510880.OF,-0.682905799,0.955822713,-0.21068398,-0.16830672,0.096311302,-0.088481675,0.565986932,0.115391054,-0.040536968,0.204227178,-0.138983543,0.165020847,-0.007113773,0.191229
233001.OF,-0.664186865,0.390424011,-0.008908686,-0.300259291,-0.024950593,0.110210286,0.290506618,0.55826702,-0.010780754,0.135138236,-0.18403234,0.536891276,0.460923265,0.058819
510050.OF,-0.651854485,0.835971223,-0.217791411,-0.172413793,0.17000544,-0.12339554,0.658840003,-0.049882168,-0.032465607,0.271567699,-0.183199408,0.357207165,0.206395817,-0.109766
519300.OF,-0.647713015,0.900760887,-0.126708222,-0.237621667,0.084790452,-0.055136242,0.495125914,0.079869601,-0.09511083,0.193389448,-0.234362894,0.338870832,0.296986893,-0.031112
360001.OF,-0.647572686,0.90614948,-0.031992917,-0.210572207,0.082976667,0.130673126,0.169128425,0.502657873,-0.067344396,-0.083445491,-0.274209753,0.370218873,0.368816565,0.020559
510180.OF,-0.645571754,0.87821532,-0.154545455,-0.225806452,0.124036752,-0.072384363,0.627217406,0.014196707,-0.078709919,0.215819341,-0.198739083,0.325652438,0.22538671,-0.047031
160706.OF,-0.643556895,0.919661734,-0.114537445,-0.229477612,0.088135593,-0.051624388,0.511184108,0.069765035,-0.087179487,0.221751113,-0.227820858,0.357813932,0.26534982,-0.049518
161607.OF,-0.639568206,0.849246231,-0.183876812,-0.205327414,0.11452514,-0.101503759,0.567642957,-0.03202847,-0.059742647,0.238514174,-0.202496054,0.410721197,0.426219219,-0.065069
110003.OF,-0.639459496,0.773613477,-0.191782284,-0.180641754,0.147300564,-0.113499087,0.609412138,0.038101802,-0.007492413,0.412804587,-0.166422616,0.510883166,0.438163717,-0.143094
050002.OF,-0.638750887,0.88605108,-0.119791667,-0.235502959,0.08250774,-0.063063063,0.577686203,0.186998162,-0.037023927,0.270314239,-0.214573696,0.345643939,0.290833879,-0.054438
200002.OF,-0.63442623,0.924047085,-0.110487983,-0.241136494,0.07908934,-0.061793821,0.491207503,0.058319039,-0.070705024,0.245912361,-0.207115777,0.38208033,0.332499468,-0.019613
159901.OF,-0.634331116,1.136432542,-0.033822138,-0.305385557,0.022731278,-0.031529979,0.340793453,0.230183372,-0.148499687,0.276796798,-0.341752813,0.568018086,0.50862185,-0.032557
